LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
27TH US CONGRESSIONAL,N,27373,POLLING PLACE,2338,1039,1041
27TH US CONGRESSIONAL,N,0,VBM PORTION,2684,1229,1040
27TH US CONGRESSIONAL,N,27373,TOTAL,5022,2268,2081
