LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PROPHET L WALKER,MICAH ALI,STEVE NEAL,MIKE GIPSON
43RD US CONGRESSIONAL,N,37116,POLLING PLACE,2342,537,212,210,1123
43RD US CONGRESSIONAL,N,0,VBM PORTION,1784,457,167,219,708
43RD US CONGRESSIONAL,N,37116,TOTAL,4126,994,379,429,1831
44TH US CONGRESSIONAL,N,176910,POLLING PLACE,13050,2430,1554,1809,6159
44TH US CONGRESSIONAL,N,0,VBM PORTION,8966,1598,990,1342,3985
44TH US CONGRESSIONAL,N,176910,TOTAL,22015,4028,2544,3151,10144
