LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MIKE MEZA,ROGER HERNANDEZ,JOE M GARDNER
27TH US CONGRESSIONAL,N,24102,POLLING PLACE,2323,178,596,1361
27TH US CONGRESSIONAL,N,0,VBM PORTION,2521,193,634,1439
27TH US CONGRESSIONAL,N,24102,TOTAL,4844,371,1230,2800
32ND US CONGRESSIONAL,N,190604,POLLING PLACE,13375,1363,6574,4443
32ND US CONGRESSIONAL,N,0,VBM PORTION,11644,1144,5450,3944
32ND US CONGRESSIONAL,N,190604,TOTAL,25014,2507,12024,8387
