LENGTH,OWNER,LAST_UPDAT,STATUS,USE_TYPE,PIPE_DIAME,PIPE_DIA_1,PIPE_LENGT,PIPE_THICK,JOINT_METH,PIPE_TYPE,PIPE_MATER,PIPE_LININ,PIPE_PLR_Y,PIPE_LOGIC,SOILRES,LoF_G,CoF_G,BRE_G,GrDate
0, ,12/30/1899 0:00:00, ,TRUNK,99, ,179.3855261,0.5, , ,STL,CL,2004, ,1226,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,72, ,71.12083425,0.375, , ,STL,CL,2004, ,1245,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,72, ,112.9982761,0.5, , ,STL,CL,2004, ,1350,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,501.6398549,0.5, , ,STL,CL,2004, ,1593,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,22.17917751,0.5, , ,STL,CL,2004, ,1867,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,849.2553939,0.5, , ,STL,CL,2004, ,1970,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,106, ,16.16217788,0.5, , ,STL,CL,2004, ,2010,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,72, ,78.50028426,0.5, , ,STL,CL,2004, ,1989,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,1053.18079,0.5, , ,STL,CL,2004, ,1804,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,84, ,7.314736304,0.5, , ,STL,CL,2004, ,1868,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,84, ,2.162320987,0.5, , ,STL,CL,2004, ,1869,B,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,216.0000342,0.375, , ,STL,CL,2003, ,2302,C,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,182.2138423,0.5, , ,STL,CL,2003, ,1560,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,24.99985391,0.5, , ,STL,CL,2003, ,1528,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,10.00020664,0.5, , ,STL,CL,2003, ,1530,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,2469.771943,0.5, , ,STL,CL,2003, ,1806,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,72.32803019,0.5, , ,STL,CL,2003, ,1972,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,9.706334024,0.5, , ,STL,CL,2003, ,1973,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,9.999986913,0.5, , ,STL,CL,2003, ,1973,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,160.5805579,0.5, , ,STL,CL,2003, ,1956,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,84, ,4.051109037,0.5, , ,STL,CL,2003, ,2049,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,84, ,3.802087653,0.5, , ,STL,CL,2003, ,2057,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,13.99991456,0.5, , ,STL,CL,2003, ,2017,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,13.49988448,0.5, , ,STL,CL,2003, ,1954,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,60.02721789,0.5, , ,STL,CL,2003, ,1863,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,31.97279942,0.5, , ,STL,CL,2003, ,1825,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,658.0000014,0.5, , ,STL,CL,2003, ,1686,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,388.0000404,0.5, , ,STL,CL,2003, ,1390,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,195.9999802,0.5, , ,STL,CL,2003, ,1256,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,9.999960729,0.5, , ,STL,CL,2003, ,1232,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,96.00003005,0.5, , ,STL,CL,2003, ,1228,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,165.0000304,0.5, , ,STL,CL,2003, ,1296,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,506.9932375,0.5, , ,STL,CL,2003, ,1498,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,16.00014707,0.5, , ,STL,CL,2003, ,1502,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,101.1983647,0.5, , ,STL,CL,2003, ,1558,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,22.33981007,0.5, , ,STL,CL,2003, ,1571,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,28.31682313,0.375, , ,STL,CL,2003, ,1577,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,20.00016092,0.375, , ,STL,CL,2003, ,1633,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,7.595279584,0.375, , ,STL,CL,2003, ,1715,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,13.21335931,0.375, , ,STL,CL,2003, ,1786,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,3.638755509,0.375, , ,STL,CL,2003, ,1844,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,3.982999609,0.375, , ,STL,CL,2003, ,1870,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,33.16470234,0.375, , ,STL,CL,2003, ,2021,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,22.00014256,0.375, , ,STL,CL,2003, ,2344,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,12.99982412,0.375, , ,STL,CL,2003, ,2347,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,20.12516021,0.375, , ,STL,CL,2003, ,2349,C,C,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,54, ,78.83325264,0.375, , ,STL,CL,2003, ,1573,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,13.57362118,0.5, , ,STL,CL,2003, ,1619,C,B,B,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,84, ,6.198559203,0.5, , ,STL,CL,2003, ,2058,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,84, ,15.94853675,0.5, , ,STL,CL,2003, ,2029,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,133.6928291,0.5, , ,STL,CL,2003, ,1567,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,84, ,30.02704039,0.5, , ,STL,CL,2003, ,1548,C,D,C,20-Jun-13
0, ,12/30/1899 0:00:00, ,TRUNK,96, ,3155.581767,0.5, , ,STL,CL,2003, ,2093,C,D,C,20-Jun-13
