LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JULIA BROWNLEY,DOUGLAS W KMIEC,RAFAEL A DAGNESSES,JEFF GORELL
3RD BOARD OF EQUALIZATION,N,6055,POLLING PLACE,727,272,16,72,325
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,770,257,17,62,374
3RD BOARD OF EQUALIZATION,N,6055,TOTAL,1497,529,33,134,699
