LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARIO DE LA PIEDRA,ROB MCCOY,JACQUI IRWIN
3RD BOARD OF EQUALIZATION,N,6055,POLLING PLACE,727,199,196,286
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,770,199,213,271
3RD BOARD OF EQUALIZATION,N,6055,TOTAL,1497,398,409,557
