LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,IAN C CALDERON,RITA TOPALIAN
3RD BOARD OF EQUALIZATION,N,231921,POLLING PLACE,17671,7900,8175
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,16417,6644,7684
3RD BOARD OF EQUALIZATION,N,231921,TOTAL,34078,14544,15859
