LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,L ROYBAL-ALLARD,DAVID SANCHEZ
3RD BOARD OF EQUALIZATION,N,244754,POLLING PLACE,16447,8313,4386
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,9697,5432,2582
3RD BOARD OF EQUALIZATION,N,244754,TOTAL,26136,13745,6968
