LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ELLEN H BROWN,GREG CONLON,JOHN CHIANG
1ST BOARD OF EQUALIZATION,N,643118,POLLING PLACE,49789,2790,19808,22353
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,53027,2811,21762,24082
1ST BOARD OF EQUALIZATION,N,643118,TOTAL,102798,5601,41570,46435
3RD BOARD OF EQUALIZATION,N,4180289,POLLING PLACE,373587,23021,88972,217910
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,347834,17577,92829,198928
3RD BOARD OF EQUALIZATION,N,4180289,TOTAL,721272,40598,181801,416838
