LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STEVE FOX,KERMIT F FRANKLIN,TOM LACKEY,SUZETTE M MARTINEZ,JD KENNEDY
1ST BOARD OF EQUALIZATION,N,191094,POLLING PLACE,15407,5057,674,5585,1383,2124
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,16815,5320,832,6530,1387,1639
1ST BOARD OF EQUALIZATION,N,191094,TOTAL,32214,10377,1506,12115,2770,3763
