LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED CHAU,ESTHELA T SIEGRIST
3RD BOARD OF EQUALIZATION,N,203626,POLLING PLACE,15560,8441,5774
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,17066,9099,5802
3RD BOARD OF EQUALIZATION,N,203626,TOTAL,32620,17540,11576
