LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED ROYCE,PETER O ANDERSON
3RD BOARD OF EQUALIZATION,N,105568,POLLING PLACE,8106,4385,2656
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,10085,6223,2886
3RD BOARD OF EQUALIZATION,N,105568,TOTAL,18188,10608,5542
