LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
1ST BOARD OF EQUALIZATION,N,643118,POLLING PLACE,49789,23132,15620
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,53027,21828,18765
1ST BOARD OF EQUALIZATION,N,643118,TOTAL,102798,44960,34385
3RD BOARD OF EQUALIZATION,N,4180289,POLLING PLACE,373587,146909,130782
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,347834,123792,125282
3RD BOARD OF EQUALIZATION,N,4180289,TOTAL,721272,270701,256064
