LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STACY WIESE,STEVEN KLAIF
1ST BOARD OF EQUALIZATION,N,643118,POLLING PLACE,49789,30391,8360
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,53027,32939,7770
1ST BOARD OF EQUALIZATION,N,643118,TOTAL,102798,63330,16130
3RD BOARD OF EQUALIZATION,N,4180289,POLLING PLACE,373587,210165,66160
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,347834,192143,56180
3RD BOARD OF EQUALIZATION,N,4180289,TOTAL,721272,402308,122340
