LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
1ST BOARD OF EQUALIZATION,N,0,POLLING PLACE,0,0,0
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,0,0,0
1ST BOARD OF EQUALIZATION,N,0,TOTAL,0,0,0
3RD BOARD OF EQUALIZATION,N,321011,POLLING PLACE,23936,8786,12572
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,21510,7673,12067
3RD BOARD OF EQUALIZATION,N,321011,TOTAL,45429,16459,24639
