LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANN H PARK
1ST BOARD OF EQUALIZATION,N,643118,POLLING PLACE,49789,32869
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,53027,34476
1ST BOARD OF EQUALIZATION,N,643118,TOTAL,102798,67345
3RD BOARD OF EQUALIZATION,N,4180289,POLLING PLACE,373587,223538
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,347834,203641
3RD BOARD OF EQUALIZATION,N,4180289,TOTAL,721272,427179
