LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
3RD BOARD OF EQUALIZATION,N,244226,POLLING PLACE,24035,9065,629,2670,355,3771,3449,549,545
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,18070,5868,462,1954,280,3586,2599,373,394
3RD BOARD OF EQUALIZATION,N,244226,TOTAL,42082,14933,1091,4624,635,7357,6048,922,939
