LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
3RD BOARD OF EQUALIZATION,N,338986,POLLING PLACE,30080,11975,898,1171,1747,1160,6234,2499
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,24020,7828,887,1159,1325,1158,4650,1751
3RD BOARD OF EQUALIZATION,N,338986,TOTAL,54087,19803,1785,2330,3072,2318,10884,4250
