LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ANTHONY RENDON,ADAM J MILLER
3RD BOARD OF EQUALIZATION,N,189220,POLLING PLACE,11886,6704,3529
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,9458,5385,3068
3RD BOARD OF EQUALIZATION,N,189220,TOTAL,21337,12089,6597
