LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
1ST BOARD OF EQUALIZATION,N,217186,POLLING PLACE,15629,5179,8226,1118
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,14326,4154,7939,938
1ST BOARD OF EQUALIZATION,N,217186,TOTAL,29947,9333,16165,2056
3RD BOARD OF EQUALIZATION,N,195347,POLLING PLACE,16106,3593,10009,1278
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,15007,3363,9164,1058
3RD BOARD OF EQUALIZATION,N,195347,TOTAL,31106,6956,19173,2336
