LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CRISTINA GARCIA
3RD BOARD OF EQUALIZATION,N,223386,POLLING PLACE,17159,10651
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,13873,8741
3RD BOARD OF EQUALIZATION,N,223386,TOTAL,31023,19392
