LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JACK ORSWELL,JUDY CHU
1ST BOARD OF EQUALIZATION,N,647,POLLING PLACE,0,0,0
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,170,99,63
1ST BOARD OF EQUALIZATION,N,647,TOTAL,169,99,63
3RD BOARD OF EQUALIZATION,N,350351,POLLING PLACE,31839,10848,18558
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,33984,12105,19442
3RD BOARD OF EQUALIZATION,N,350351,TOTAL,65812,22953,38000
