LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MICHELLE WALKER,SANDRA MENDOZA,MICHAEL ALDAPA,MIGUEL SANTIAGO
3RD BOARD OF EQUALIZATION,N,147381,POLLING PLACE,11344,992,2434,736,5443
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,9033,972,1519,687,3944
3RD BOARD OF EQUALIZATION,N,147381,TOTAL,20371,1964,3953,1423,9387
