LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLINGSWORTH ARMSTRONG,MARC A GIBBONS
1ST BOARD OF EQUALIZATION,N,643118,POLLING PLACE,49789,29935,9677
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,53027,32430,9022
1ST BOARD OF EQUALIZATION,N,643118,TOTAL,102798,62365,18699
3RD BOARD OF EQUALIZATION,N,4180289,POLLING PLACE,373587,206075,76193
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,347834,190954,61688
3RD BOARD OF EQUALIZATION,N,4180289,TOTAL,721272,397029,137881
