LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,HOLLY J MITCHELL,ISIDRO ARMENTA
3RD BOARD OF EQUALIZATION,N,452850,POLLING PLACE,38257,26348,4983
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,31389,21932,3318
3RD BOARD OF EQUALIZATION,N,452850,TOTAL,69626,48280,8301
