LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,S M RIDLEY THOMAS,GLEN RATCLIFF
3RD BOARD OF EQUALIZATION,N,272365,POLLING PLACE,26660,18478,4724
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,24484,15966,4861
3RD BOARD OF EQUALIZATION,N,272365,TOTAL,51129,34444,9585
