LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MARK S REED,PABLO KLEINMAN,MICHAEL W POWELSON,BRAD SHERMAN,MARC LITCHMAN
1ST BOARD OF EQUALIZATION,N,76851,POLLING PLACE,6828,1625,680,219,3522,302
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,6581,1316,885,192,3495,303
1ST BOARD OF EQUALIZATION,N,76851,TOTAL,13405,2941,1565,411,7017,605
3RD BOARD OF EQUALIZATION,N,321569,POLLING PLACE,30040,5664,3274,987,16440,1777
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,31440,5432,3920,952,17236,1857
3RD BOARD OF EQUALIZATION,N,321569,TOTAL,61472,11096,7194,1939,33676,3634
