LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ED HERNANDEZ
3RD BOARD OF EQUALIZATION,N,402143,POLLING PLACE,28682,17749
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,27543,16626
3RD BOARD OF EQUALIZATION,N,402143,TOTAL,56212,34375
