LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
1ST BOARD OF EQUALIZATION,N,643118,POLLING PLACE,49789,747,3332,2568,4125,510,19172,13812,1105
1ST BOARD OF EQUALIZATION,N,0,VBM PORTION,53027,735,3368,2488,4092,474,21118,15269,932
1ST BOARD OF EQUALIZATION,N,643118,TOTAL,102798,1482,6700,5056,8217,984,40290,29081,2037
3RD BOARD OF EQUALIZATION,N,4180289,POLLING PLACE,373587,4868,21981,21587,18445,4212,197406,58793,9400
3RD BOARD OF EQUALIZATION,N,0,VBM PORTION,347834,3869,21715,16974,17669,3062,180784,62385,6255
3RD BOARD OF EQUALIZATION,N,4180289,TOTAL,721272,8737,43696,38561,36114,7274,378190,121178,15655
