LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ADRIN NAZARIAN,ZACHARY TAYLOR,
LOS ANGELES,9005142A,4418,125,N,1180,TOTAL,445,321,92,
LOS ANGELES,9005145A,4419,125,N,1092,POLLING PLACE,229,169,55,
LOS ANGELES,9005145A,4419,125,N,,VBM PORTION,101,56,39,
LOS ANGELES,9005145A,4419,125,N,1092,TOTAL,330,225,94,
LOS ANGELES,9005147A,4420,124,N,883,POLLING PLACE,148,115,26,
LOS ANGELES,9005147A,4420,124,N,,VBM PORTION,39,22,15,
LOS ANGELES,9005147A,4420,124,N,883,TOTAL,187,137,41,
LOS ANGELES,9005151B,4421,124,N,775,POLLING PLACE,227,158,51,
LOS ANGELES,9005151B,4421,124,N,,VBM PORTION,51,26,22,
LOS ANGELES,9005151B,4421,124,N,775,TOTAL,278,184,73,
LOS ANGELES,9005152A,4422,125,N,1115,POLLING PLACE,216,155,47,
LOS ANGELES,9005152A,4422,125,N,,VBM PORTION,94,52,38,
LOS ANGELES,9005152A,4422,125,N,1115,TOTAL,310,207,85,
LOS ANGELES,9005155A,4423,125,N,1259,POLLING PLACE,270,196,61,
LOS ANGELES,9005155A,4423,125,N,,VBM PORTION,86,59,24,
LOS ANGELES,9005155A,4423,125,N,1259,TOTAL,356,255,85,
LOS ANGELES,9005159A,4424,125,N,1222,POLLING PLACE,292,201,76,
LOS ANGELES,9005159A,4424,125,N,,VBM PORTION,116,73,40,
LOS ANGELES,9005159A,4424,125,N,1222,TOTAL,408,274,116,
LOS ANGELES,9005187A,4425,124,N,1063,POLLING PLACE,227,163,52,
LOS ANGELES,9005187A,4425,124,N,,VBM PORTION,80,45,27,
LOS ANGELES,9005187A,4425,124,N,1063,TOTAL,307,208,79,
LOS ANGELES,9005188A,4426,121,N,1104,POLLING PLACE,203,155,32,
LOS ANGELES,9005188A,4426,121,N,,VBM PORTION,30,22,6,
LOS ANGELES,9005188A,4426,121,N,1104,TOTAL,233,177,38,
LOS ANGELES,9005189A,4427,121,N,1032,POLLING PLACE,135,100,25,
LOS ANGELES,9005189A,4427,121,N,,VBM PORTION,31,25,3,
LOS ANGELES,9005189A,4427,121,N,1032,TOTAL,166,125,28,
LOS ANGELES,9005196A,4428,125,N,1054,POLLING PLACE,265,187,54,
LOS ANGELES,9005196A,4428,125,N,,VBM PORTION,83,56,20,
LOS ANGELES,9005196A,4428,125,N,1054,TOTAL,348,243,74,
LOS ANGELES,9005199A,4429,125,N,900,POLLING PLACE,191,135,47,
LOS ANGELES,9005199A,4429,125,N,,VBM PORTION,100,56,34,
LOS ANGELES,9005199A,4429,125,N,900,TOTAL,291,191,81,
LOS ANGELES,9005530A,4460,124,N,1199,POLLING PLACE,194,119,59,
LOS ANGELES,9005530A,4460,124,N,,VBM PORTION,102,71,27,
LOS ANGELES,9005530A,4460,124,N,1199,TOTAL,296,190,86,
LOS ANGELES,9005549B,4465,125,N,1309,POLLING PLACE,263,171,57,
LOS ANGELES,9005549B,4465,125,N,,VBM PORTION,86,52,27,
LOS ANGELES,9005549B,4465,125,N,1309,TOTAL,349,223,84,
LOS ANGELES,9007101E,4612,124,N,1035,POLLING PLACE,108,75,24,
LOS ANGELES,9007101E,4612,124,N,,VBM PORTION,63,46,13,
LOS ANGELES,9007101E,4612,124,N,1035,TOTAL,171,121,37,
LOS ANGELES,9007129B,4615,124,N,775,POLLING PLACE,149,115,28,
LOS ANGELES,9007129B,4615,124,N,,VBM PORTION,21,16,5,
LOS ANGELES,9007129B,4615,124,N,775,TOTAL,170,131,33,
LOS ANGELES,9007131A,4616,125,N,1185,POLLING PLACE,296,218,62,
LOS ANGELES,9007131A,4616,125,N,,VBM PORTION,104,69,31,
LOS ANGELES,9007131A,4616,125,N,1185,TOTAL,400,287,93,
LOS ANGELES,9007132A,4617,125,N,1208,POLLING PLACE,317,229,70,
LOS ANGELES,9007132A,4617,125,N,,VBM PORTION,102,70,30,
LOS ANGELES,9007132A,4617,125,N,1208,TOTAL,419,299,100,
LOS ANGELES,9007803A,4658,122,N,1186,POLLING PLACE,220,101,87,
LOS ANGELES,9007803A,4658,122,N,,VBM PORTION,81,38,33,
LOS ANGELES,9007803A,4658,122,N,1186,TOTAL,301,139,120,
BALLOT GROUP 121,9990121A,8121,121,N,,POLLING PLACE,,,,
BALLOT GROUP 121,9990121A,8121,121,N,,VBM PORTION,,,,
BALLOT GROUP 121,9990121A,8121,121,N,,TOTAL,,,,
BALLOT GROUP 122,9990122A,8122,122,N,,POLLING PLACE,,,,
BALLOT GROUP 122,9990122A,8122,122,N,,VBM PORTION,,,,
BALLOT GROUP 122,9990122A,8122,122,N,,TOTAL,,,,
BALLOT GROUP 123,9990123A,8123,123,N,,POLLING PLACE,,,,
BALLOT GROUP 123,9990123A,8123,123,N,,VBM PORTION,,,,
BALLOT GROUP 123,9990123A,8123,123,N,,TOTAL,,,,
BALLOT GROUP 124,9990124A,8124,124,N,,POLLING PLACE,,,,
BALLOT GROUP 124,9990124A,8124,124,N,,VBM PORTION,,,,
BALLOT GROUP 124,9990124A,8124,124,N,,TOTAL,,,,
BALLOT GROUP 125,9990125A,8125,125,N,,POLLING PLACE,,,,
BALLOT GROUP 125,9990125A,8125,125,N,,VBM PORTION,,,,
BALLOT GROUP 125,9990125A,8125,125,N,,TOTAL,,,,
BALLOT GROUP 126,9990126A,8126,126,N,,POLLING PLACE,,,,
BALLOT GROUP 126,9990126A,8126,126,N,,VBM PORTION,,,,
BALLOT GROUP 126,9990126A,8126,126,N,,TOTAL,,,,
BALLOT GROUP 127,9990127A,8127,127,N,,POLLING PLACE,,,,
BALLOT GROUP 127,9990127A,8127,127,N,,VBM PORTION,,,,
BALLOT GROUP 127,9990127A,8127,127,N,,TOTAL,,,,
