LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,MICHELLE A BHOLAT,NOEL LEE CHUN,JOANNE Z EDGERTON,
MANHATTAN BEACH,4100019A,1724,375,N,,VBM PORTION,118,32,55,41,
MANHATTAN BEACH,4100019A,1724,375,N,1102,TOTAL,412,126,142,160,
MANHATTAN BEACH,4100021A,1725,375,N,926,POLLING PLACE,224,77,64,90,
MANHATTAN BEACH,4100021A,1725,375,N,,VBM PORTION,125,50,37,45,
MANHATTAN BEACH,4100021A,1725,375,N,926,TOTAL,349,127,101,135,
MANHATTAN BEACH,4100025B,1726,375,N,973,POLLING PLACE,315,103,111,103,
MANHATTAN BEACH,4100025B,1726,375,N,,VBM PORTION,119,37,44,36,
MANHATTAN BEACH,4100025B,1726,375,N,973,TOTAL,434,140,155,139,
MANHATTAN BEACH,4100025D,1727,375,N,1042,POLLING PLACE,330,113,117,113,
MANHATTAN BEACH,4100025D,1727,375,N,,VBM PORTION,112,34,34,55,
MANHATTAN BEACH,4100025D,1727,375,N,1042,TOTAL,442,147,151,168,
MANHATTAN BEACH,4100026A,1728,375,N,1020,POLLING PLACE,314,100,109,117,
MANHATTAN BEACH,4100026A,1728,375,N,,VBM PORTION,104,30,32,33,
MANHATTAN BEACH,4100026A,1728,375,N,1020,TOTAL,418,130,141,150,
MANHATTAN BEACH,4100028A,1729,375,N,1092,POLLING PLACE,290,90,106,105,
MANHATTAN BEACH,4100028A,1729,375,N,,VBM PORTION,151,50,55,58,
MANHATTAN BEACH,4100028A,1729,375,N,1092,TOTAL,441,140,161,163,
MANHATTAN BEACH,4100031A,1730,375,N,1083,POLLING PLACE,253,93,83,100,
MANHATTAN BEACH,4100031A,1730,375,N,,VBM PORTION,175,59,67,71,
MANHATTAN BEACH,4100031A,1730,375,N,1083,TOTAL,428,152,150,171,
MANHATTAN BEACH,4100033A,1731,375,N,1230,POLLING PLACE,357,121,127,120,
MANHATTAN BEACH,4100033A,1731,375,N,,VBM PORTION,141,65,47,52,
MANHATTAN BEACH,4100033A,1731,375,N,1230,TOTAL,498,186,174,172,
MANHATTAN BEACH,4100034A,1732,375,N,1240,POLLING PLACE,334,125,128,127,
MANHATTAN BEACH,4100034A,1732,375,N,,VBM PORTION,138,60,52,55,
MANHATTAN BEACH,4100034A,1732,375,N,1240,TOTAL,472,185,180,182,
MANHATTAN BEACH,4100035A,1733,375,N,432,POLLING PLACE,110,40,38,50,
MANHATTAN BEACH,4100035A,1733,375,N,,VBM PORTION,32,12,10,12,
MANHATTAN BEACH,4100035A,1733,375,N,432,TOTAL,142,52,48,62,
MANHATTAN BEACH,4100036A,1734,375,N,1145,POLLING PLACE,304,127,92,104,
MANHATTAN BEACH,4100036A,1734,375,N,,VBM PORTION,139,58,46,43,
MANHATTAN BEACH,4100036A,1734,375,N,1145,TOTAL,443,185,138,147,
MANHATTAN BEACH,4100044A,1735,375,N,930,POLLING PLACE,248,79,74,111,
MANHATTAN BEACH,4100044A,1735,375,N,,VBM PORTION,125,35,35,38,
MANHATTAN BEACH,4100044A,1735,375,N,930,TOTAL,373,114,109,149,
MANHATTAN BEACH,4100047A,1736,375,N,1349,POLLING PLACE,305,128,95,124,
MANHATTAN BEACH,4100047A,1736,375,N,,VBM PORTION,207,81,68,80,
MANHATTAN BEACH,4100047A,1736,375,N,1349,TOTAL,512,209,163,204,
MANHATTAN BEACH,4100048A,1737,375,N,989,POLLING PLACE,293,116,103,101,
MANHATTAN BEACH,4100048A,1737,375,N,,VBM PORTION,76,27,28,28,
MANHATTAN BEACH,4100048A,1737,375,N,989,TOTAL,369,143,131,129,
MANHATTAN BEACH,4100050A,1738,375,N,924,POLLING PLACE,150,40,54,48,
MANHATTAN BEACH,4100050A,1738,375,N,,VBM PORTION,82,20,34,26,
MANHATTAN BEACH,4100050A,1738,375,N,924,TOTAL,232,60,88,74,
REDONDO BEACH,5550001A,2194,374,N,966,POLLING PLACE,176,70,61,71,
REDONDO BEACH,5550001A,2194,374,N,,VBM PORTION,110,48,37,42,
REDONDO BEACH,5550001A,2194,374,N,966,TOTAL,286,118,98,113,
REDONDO BEACH,5550004A,2195,374,N,819,POLLING PLACE,179,62,57,58,
REDONDO BEACH,5550004A,2195,374,N,,VBM PORTION,111,38,31,38,
REDONDO BEACH,5550004A,2195,374,N,819,TOTAL,290,100,88,96,
REDONDO BEACH,5550005A,2196,374,N,899,POLLING PLACE,239,91,85,86,
REDONDO BEACH,5550005A,2196,374,N,,VBM PORTION,92,31,31,33,
REDONDO BEACH,5550005A,2196,374,N,899,TOTAL,331,122,116,119,
REDONDO BEACH,5550006A,2197,374,N,1005,POLLING PLACE,210,81,65,70,
REDONDO BEACH,5550006A,2197,374,N,,VBM PORTION,125,49,48,42,
REDONDO BEACH,5550006A,2197,374,N,1005,TOTAL,335,130,113,112,
REDONDO BEACH,5550010A,2198,374,N,832,POLLING PLACE,192,77,60,71,
REDONDO BEACH,5550010A,2198,374,N,,VBM PORTION,105,32,39,26,
REDONDO BEACH,5550010A,2198,374,N,832,TOTAL,297,109,99,97,
REDONDO BEACH,5550012A,2199,374,N,981,POLLING PLACE,190,73,69,69,
REDONDO BEACH,5550012A,2199,374,N,,VBM PORTION,108,44,46,33,
REDONDO BEACH,5550012A,2199,374,N,981,TOTAL,298,117,115,102,
REDONDO BEACH,5550013A,2200,374,N,911,POLLING PLACE,269,105,94,90,
REDONDO BEACH,5550013A,2200,374,N,,VBM PORTION,99,37,40,35,
REDONDO BEACH,5550013A,2200,374,N,911,TOTAL,368,142,134,125,
REDONDO BEACH,5550014A,2201,374,N,1244,POLLING PLACE,283,107,102,96,
REDONDO BEACH,5550014A,2201,374,N,,VBM PORTION,162,55,68,68,
REDONDO BEACH,5550014A,2201,374,N,1244,TOTAL,445,162,170,164,
REDONDO BEACH,5550015A,2202,374,N,883,POLLING PLACE,207,69,77,76,
REDONDO BEACH,5550015A,2202,374,N,,VBM PORTION,91,37,34,34,
REDONDO BEACH,5550015A,2202,374,N,883,TOTAL,298,106,111,110,
REDONDO BEACH,5550016A,2203,374,N,1227,POLLING PLACE,289,120,85,108,
REDONDO BEACH,5550016A,2203,374,N,,VBM PORTION,132,56,54,47,
REDONDO BEACH,5550016A,2203,374,N,1227,TOTAL,421,176,139,155,
REDONDO BEACH,5550017A,2204,374,N,1224,POLLING PLACE,255,80,89,80,
REDONDO BEACH,5550017A,2204,374,N,,VBM PORTION,134,53,69,42,
REDONDO BEACH,5550017A,2204,374,N,1224,TOTAL,389,133,158,122,
REDONDO BEACH,5550019A,2205,374,N,1390,POLLING PLACE,297,104,107,115,
REDONDO BEACH,5550019A,2205,374,N,,VBM PORTION,172,62,64,68,
REDONDO BEACH,5550019A,2205,374,N,1390,TOTAL,469,166,171,183,
REDONDO BEACH,5550024A,2206,374,N,1272,POLLING PLACE,271,106,106,95,
REDONDO BEACH,5550024A,2206,374,N,,VBM PORTION,101,37,40,33,
REDONDO BEACH,5550024A,2206,374,N,1272,TOTAL,372,143,146,128,
REDONDO BEACH,5550029A,2207,374,N,936,POLLING PLACE,256,96,100,84,
REDONDO BEACH,5550029A,2207,374,N,,VBM PORTION,82,22,27,26,
REDONDO BEACH,5550029A,2207,374,N,936,TOTAL,338,118,127,110,
REDONDO BEACH,5550030A,2208,374,N,971,POLLING PLACE,259,91,87,95,
REDONDO BEACH,5550030A,2208,374,N,,VBM PORTION,133,58,50,57,
REDONDO BEACH,5550030A,2208,374,N,971,TOTAL,392,149,137,152,
REDONDO BEACH,5550032A,2209,374,N,1047,POLLING PLACE,236,94,80,74,
REDONDO BEACH,5550032A,2209,374,N,,VBM PORTION,90,40,30,32,
REDONDO BEACH,5550032A,2209,374,N,1047,TOTAL,326,134,110,106,
REDONDO BEACH,5550035A,2210,374,N,1129,POLLING PLACE,183,80,63,67,
REDONDO BEACH,5550035A,2210,374,N,,VBM PORTION,135,72,47,45,
REDONDO BEACH,5550035A,2210,374,N,1129,TOTAL,318,152,110,112,
REDONDO BEACH,5550036A,2211,374,N,996,POLLING PLACE,177,77,55,70,
REDONDO BEACH,5550036A,2211,374,N,,VBM PORTION,37,15,23,11,
REDONDO BEACH,5550036A,2211,374,N,996,TOTAL,214,92,78,81,
REDONDO BEACH,5550038A,2212,374,N,1049,POLLING PLACE,199,77,84,52,
REDONDO BEACH,5550038A,2212,374,N,,VBM PORTION,112,50,60,46,
REDONDO BEACH,5550038A,2212,374,N,1049,TOTAL,311,127,144,98,
REDONDO BEACH,5550041A,2213,374,N,1367,POLLING PLACE,269,106,88,96,
REDONDO BEACH,5550041A,2213,374,N,,VBM PORTION,93,35,42,35,
REDONDO BEACH,5550041A,2213,374,N,1367,TOTAL,362,141,130,131,
REDONDO BEACH,5550042A,2214,374,N,1047,POLLING PLACE,282,112,104,95,
REDONDO BEACH,5550042A,2214,374,N,,VBM PORTION,114,44,48,51,
REDONDO BEACH,5550042A,2214,374,N,1047,TOTAL,396,156,152,146,
REDONDO BEACH,5550045A,2215,374,N,1279,POLLING PLACE,286,108,105,90,
REDONDO BEACH,5550045A,2215,374,N,,VBM PORTION,94,42,43,31,
REDONDO BEACH,5550045A,2215,374,N,1279,TOTAL,380,150,148,121,
REDONDO BEACH,5550046A,2216,374,N,1197,POLLING PLACE,256,102,96,103,
REDONDO BEACH,5550046A,2216,374,N,,VBM PORTION,109,42,45,32,
REDONDO BEACH,5550046A,2216,374,N,1197,TOTAL,365,144,141,135,
REDONDO BEACH,5550050A,2217,374,N,960,POLLING PLACE,166,63,52,49,
REDONDO BEACH,5550050A,2217,374,N,,VBM PORTION,86,45,34,28,
REDONDO BEACH,5550050A,2217,374,N,960,TOTAL,252,108,86,77,
REDONDO BEACH,5550051A,2218,374,N,933,POLLING PLACE,210,91,81,71,
REDONDO BEACH,5550051A,2218,374,N,,VBM PORTION,46,19,20,14,
REDONDO BEACH,5550051A,2218,374,N,933,TOTAL,256,110,101,85,
REDONDO BEACH,5550056A,2219,374,N,1293,POLLING PLACE,366,140,154,133,
REDONDO BEACH,5550056A,2219,374,N,,VBM PORTION,161,71,68,69,
REDONDO BEACH,5550056A,2219,374,N,1293,TOTAL,527,211,222,202,
REDONDO BEACH,5550058A,2220,374,N,1363,POLLING PLACE,298,112,129,96,
REDONDO BEACH,5550058A,2220,374,N,,VBM PORTION,99,41,38,27,
REDONDO BEACH,5550058A,2220,374,N,1363,TOTAL,397,153,167,123,
REDONDO BEACH,5550063B,2221,374,N,1078,POLLING PLACE,217,86,58,80,
REDONDO BEACH,5550063B,2221,374,N,,VBM PORTION,106,52,33,50,
REDONDO BEACH,5550063B,2221,374,N,1078,TOTAL,323,138,91,130,
REDONDO BEACH,5550069A,2222,374,N,1243,POLLING PLACE,220,92,77,80,
REDONDO BEACH,5550069A,2222,374,N,,VBM PORTION,168,53,59,63,
REDONDO BEACH,5550069A,2222,374,N,1243,TOTAL,388,145,136,143,
REDONDO BEACH,5550070A,2223,374,N,1023,POLLING PLACE,207,71,73,70,
REDONDO BEACH,5550070A,2223,374,N,,VBM PORTION,150,59,59,48,
REDONDO BEACH,5550070A,2223,374,N,1023,TOTAL,357,130,132,118,
REDONDO BEACH,5550090A,2224,374,N,799,POLLING PLACE,164,64,63,42,
REDONDO BEACH,5550090A,2224,374,N,,VBM PORTION,81,30,28,25,
REDONDO BEACH,5550090A,2224,374,N,799,TOTAL,245,94,91,67,
REDONDO BEACH,5550091A,2225,374,N,892,POLLING PLACE,166,67,61,73,
REDONDO BEACH,5550091A,2225,374,N,,VBM PORTION,105,43,30,34,
REDONDO BEACH,5550091A,2225,374,N,892,TOTAL,271,110,91,107,
REDONDO BEACH,5550092A,2226,374,N,1261,POLLING PLACE,270,97,96,107,
REDONDO BEACH,5550092A,2226,374,N,,VBM PORTION,111,38,42,41,
REDONDO BEACH,5550092A,2226,374,N,1261,TOTAL,381,135,138,148,
REDONDO BEACH,5550093B,2227,374,N,1341,POLLING PLACE,327,121,122,111,
REDONDO BEACH,5550093B,2227,374,N,,VBM PORTION,129,40,63,40,
REDONDO BEACH,5550093B,2227,374,N,1341,TOTAL,456,161,185,151,
REDONDO BEACH,5550094A,2228,374,N,1013,POLLING PLACE,214,77,88,75,
REDONDO BEACH,5550094A,2228,374,N,,VBM PORTION,102,44,49,33,
REDONDO BEACH,5550094A,2228,374,N,1013,TOTAL,316,121,137,108,
REDONDO BEACH,5550095A,2229,374,N,992,POLLING PLACE,228,97,97,80,
REDONDO BEACH,5550095A,2229,374,N,,VBM PORTION,116,44,36,60,
REDONDO BEACH,5550095A,2229,374,N,992,TOTAL,344,141,133,140,
REDONDO BEACH,5550097A,2230,374,N,656,POLLING PLACE,163,71,55,49,
REDONDO BEACH,5550097A,2230,374,N,,VBM PORTION,68,24,26,25,
REDONDO BEACH,5550097A,2230,374,N,656,TOTAL,231,95,81,74,
REDONDO BEACH,5550098A,2231,374,N,1265,POLLING PLACE,248,102,87,71,
REDONDO BEACH,5550098A,2231,374,N,,VBM PORTION,119,42,48,36,
REDONDO BEACH,5550098A,2231,374,N,1265,TOTAL,367,144,135,107,
BALLOT GROUP 374,9990374A,8374,374,N,,POLLING PLACE,,,,,
BALLOT GROUP 374,9990374A,8374,374,N,,VBM PORTION,,,,,
BALLOT GROUP 374,9990374A,8374,374,N,,TOTAL,,,,,
BALLOT GROUP 375,9990375A,8375,375,N,,POLLING PLACE,,,,,
BALLOT GROUP 375,9990375A,8375,375,N,,VBM PORTION,,,,,
BALLOT GROUP 375,9990375A,8375,375,N,,TOTAL,,,,,
BALLOT GROUP 376,9990376A,8376,376,N,,POLLING PLACE,,,,,
BALLOT GROUP 376,9990376A,8376,376,N,,VBM PORTION,,,,,
BALLOT GROUP 376,9990376A,8376,376,N,,TOTAL,,,,,
