LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,
LONG BEACH,3850067B,1465,396,N,1063,POLLING PLACE,247,138,97,
LONG BEACH,3850067B,1465,396,N,,VBM PORTION,118,68,45,
LONG BEACH,3850067B,1465,396,N,1063,TOTAL,365,206,142,
LONG BEACH,3850070A,1467,396,N,912,POLLING PLACE,177,105,55,
LONG BEACH,3850070A,1467,396,N,,VBM PORTION,59,32,25,
LONG BEACH,3850070A,1467,396,N,912,TOTAL,236,137,80,
LONG BEACH,3850071A,1468,396,N,871,POLLING PLACE,178,118,50,
LONG BEACH,3850071A,1468,396,N,,VBM PORTION,47,31,14,
LONG BEACH,3850071A,1468,396,N,871,TOTAL,225,149,64,
LONG BEACH,3850072A,1469,396,N,941,POLLING PLACE,135,96,29,
LONG BEACH,3850072A,1469,396,N,,VBM PORTION,44,27,13,
LONG BEACH,3850072A,1469,396,N,941,TOTAL,179,123,42,
LONG BEACH,3850075A,1470,396,N,864,POLLING PLACE,164,98,60,
LONG BEACH,3850075A,1470,396,N,,VBM PORTION,73,46,23,
LONG BEACH,3850075A,1470,396,N,864,TOTAL,237,144,83,
LONG BEACH,3850076A,1471,396,N,1063,POLLING PLACE,156,110,37,
LONG BEACH,3850076A,1471,396,N,,VBM PORTION,77,42,32,
LONG BEACH,3850076A,1471,396,N,1063,TOTAL,233,152,69,
LONG BEACH,3850081A,1472,396,N,1166,POLLING PLACE,235,151,73,
LONG BEACH,3850081A,1472,396,N,,VBM PORTION,124,75,45,
LONG BEACH,3850081A,1472,396,N,1166,TOTAL,359,226,118,
LONG BEACH,3850082A,1473,396,N,922,POLLING PLACE,182,122,53,
LONG BEACH,3850082A,1473,396,N,,VBM PORTION,70,33,32,
LONG BEACH,3850082A,1473,396,N,922,TOTAL,252,155,85,
LONG BEACH,3850085A,1474,396,N,1338,POLLING PLACE,302,184,106,
LONG BEACH,3850085A,1474,396,N,,VBM PORTION,132,89,35,
LONG BEACH,3850085A,1474,396,N,1338,TOTAL,434,273,141,
LONG BEACH,3850089A,1475,396,N,1146,POLLING PLACE,112,73,32,
LONG BEACH,3850089A,1475,396,N,,VBM PORTION,81,56,21,
LONG BEACH,3850089A,1475,396,N,1146,TOTAL,193,129,53,
LONG BEACH,3850089D,1476,396,N,1196,POLLING PLACE,102,74,26,
LONG BEACH,3850089D,1476,396,N,,VBM PORTION,77,60,13,
LONG BEACH,3850089D,1476,396,N,1196,TOTAL,179,134,39,
LONG BEACH,3850091A,1477,396,N,989,POLLING PLACE,59,39,18,
LONG BEACH,3850091A,1477,396,N,,VBM PORTION,23,17,5,
LONG BEACH,3850091A,1477,396,N,989,TOTAL,82,56,23,
LONG BEACH,3850092A,1478,396,N,956,POLLING PLACE,159,121,20,
LONG BEACH,3850092A,1478,396,N,,VBM PORTION,46,35,7,
LONG BEACH,3850092A,1478,396,N,956,TOTAL,205,156,27,
LONG BEACH,3850093A,1479,396,N,692,POLLING PLACE,102,66,34,
LONG BEACH,3850093A,1479,396,N,,VBM PORTION,54,35,17,
LONG BEACH,3850093A,1479,396,N,692,TOTAL,156,101,51,
LONG BEACH,3850097A,1480,396,N,1243,POLLING PLACE,168,109,41,
LONG BEACH,3850097A,1480,396,N,,VBM PORTION,54,39,12,
LONG BEACH,3850097A,1480,396,N,1243,TOTAL,222,148,53,
LONG BEACH,3850099A,1481,396,N,1041,POLLING PLACE,155,121,23,
LONG BEACH,3850099A,1481,396,N,,VBM PORTION,41,31,7,
LONG BEACH,3850099A,1481,396,N,1041,TOTAL,196,152,30,
LONG BEACH,3850100A,1482,396,N,806,POLLING PLACE,122,95,23,
LONG BEACH,3850100A,1482,396,N,,VBM PORTION,25,16,6,
LONG BEACH,3850100A,1482,396,N,806,TOTAL,147,111,29,
LONG BEACH,3850101A,1483,396,N,933,POLLING PLACE,132,110,19,
LONG BEACH,3850101A,1483,396,N,,VBM PORTION,51,44,5,
LONG BEACH,3850101A,1483,396,N,933,TOTAL,183,154,24,
LONG BEACH,3850103A,1485,396,N,963,POLLING PLACE,116,86,19,
LONG BEACH,3850103A,1485,396,N,,VBM PORTION,52,28,23,
LONG BEACH,3850103A,1485,396,N,963,TOTAL,168,114,42,
LONG BEACH,3850108A,1486,396,N,775,POLLING PLACE,74,51,20,
LONG BEACH,3850108A,1486,396,N,,VBM PORTION,74,47,26,
LONG BEACH,3850108A,1486,396,N,775,TOTAL,148,98,46,
LONG BEACH,3850110A,1487,396,N,1070,POLLING PLACE,139,104,25,
LONG BEACH,3850110A,1487,396,N,,VBM PORTION,64,44,14,
LONG BEACH,3850110A,1487,396,N,1070,TOTAL,203,148,39,
LONG BEACH,3850113B,1488,396,N,991,POLLING PLACE,77,52,12,
LONG BEACH,3850113B,1488,396,N,,VBM PORTION,41,27,10,
LONG BEACH,3850113B,1488,396,N,991,TOTAL,118,79,22,
LONG BEACH,3850117A,1489,396,N,1216,POLLING PLACE,124,95,20,
LONG BEACH,3850117A,1489,396,N,,VBM PORTION,43,28,11,
LONG BEACH,3850117A,1489,396,N,1216,TOTAL,167,123,31,
LONG BEACH,3850118A,1490,396,N,613,POLLING PLACE,48,39,7,
LONG BEACH,3850118A,1490,396,N,,VBM PORTION,18,14,4,
LONG BEACH,3850118A,1490,396,N,613,TOTAL,66,53,11,
LONG BEACH,3850120A,1491,396,N,895,POLLING PLACE,148,115,29,
LONG BEACH,3850120A,1491,396,N,,VBM PORTION,68,47,11,
LONG BEACH,3850120A,1491,396,N,895,TOTAL,216,162,40,
LONG BEACH,3850122A,1492,396,N,801,POLLING PLACE,67,53,9,
LONG BEACH,3850122A,1492,396,N,,VBM PORTION,28,24,3,
LONG BEACH,3850122A,1492,396,N,801,TOTAL,95,77,12,
LONG BEACH,3850123A,1493,396,N,855,POLLING PLACE,62,49,11,
LONG BEACH,3850123A,1493,396,N,,VBM PORTION,28,19,7,
LONG BEACH,3850123A,1493,396,N,855,TOTAL,90,68,18,
LONG BEACH,3850128A,1494,396,N,755,POLLING PLACE,71,49,19,
LONG BEACH,3850128A,1494,396,N,,VBM PORTION,26,16,9,
LONG BEACH,3850128A,1494,396,N,755,TOTAL,97,65,28,
LONG BEACH,3850133A,1495,396,N,1106,POLLING PLACE,127,99,23,
LONG BEACH,3850133A,1495,396,N,,VBM PORTION,38,29,6,
LONG BEACH,3850133A,1495,396,N,1106,TOTAL,165,128,29,
LONG BEACH,3850134B,1496,396,N,1018,POLLING PLACE,64,45,14,
LONG BEACH,3850134B,1496,396,N,,VBM PORTION,15,13,1,
LONG BEACH,3850134B,1496,396,N,1018,TOTAL,79,58,15,
LONG BEACH,3850135A,1497,396,N,1267,POLLING PLACE,203,156,38,
LONG BEACH,3850135A,1497,396,N,,VBM PORTION,85,62,17,
LONG BEACH,3850135A,1497,396,N,1267,TOTAL,288,218,55,
LONG BEACH,3850137A,1498,396,N,1148,POLLING PLACE,76,62,8,
LONG BEACH,3850137A,1498,396,N,,VBM PORTION,34,26,7,
LONG BEACH,3850137A,1498,396,N,1148,TOTAL,110,88,15,
LONG BEACH,3850138A,1499,396,N,933,POLLING PLACE,87,75,10,
LONG BEACH,3850138A,1499,396,N,,VBM PORTION,25,20,4,
LONG BEACH,3850138A,1499,396,N,933,TOTAL,112,95,14,
LONG BEACH,3850144A,1500,396,N,1101,POLLING PLACE,51,38,7,
LONG BEACH,3850144A,1500,396,N,,VBM PORTION,27,22,5,
LONG BEACH,3850144A,1500,396,N,1101,TOTAL,78,60,12,
LONG BEACH,3850145A,1501,396,N,877,POLLING PLACE,51,38,10,
LONG BEACH,3850145A,1501,396,N,,VBM PORTION,18,13,2,
LONG BEACH,3850145A,1501,396,N,877,TOTAL,69,51,12,
LONG BEACH,3850146A,1502,396,N,1128,POLLING PLACE,92,72,17,
LONG BEACH,3850146A,1502,396,N,,VBM PORTION,37,24,9,
LONG BEACH,3850146A,1502,396,N,1128,TOTAL,129,96,26,
LONG BEACH,3850147A,1503,396,N,863,POLLING PLACE,171,94,68,
LONG BEACH,3850147A,1503,396,N,,VBM PORTION,48,20,26,
LONG BEACH,3850147A,1503,396,N,863,TOTAL,219,114,94,
LONG BEACH,3850149A,1504,396,N,1011,POLLING PLACE,141,105,23,
LONG BEACH,3850149A,1504,396,N,,VBM PORTION,34,26,7,
LONG BEACH,3850149A,1504,396,N,1011,TOTAL,175,131,30,
LONG BEACH,3850151A,1505,396,N,1143,POLLING PLACE,60,47,10,
LONG BEACH,3850151A,1505,396,N,,VBM PORTION,32,21,10,
LONG BEACH,3850151A,1505,396,N,1143,TOTAL,92,68,20,
LONG BEACH,3850151C,1506,396,N,864,POLLING PLACE,69,57,8,
LONG BEACH,3850151C,1506,396,N,,VBM PORTION,31,23,5,
LONG BEACH,3850151C,1506,396,N,864,TOTAL,100,80,13,
LONG BEACH,3850152A,1507,396,N,781,POLLING PLACE,125,107,13,
LONG BEACH,3850152A,1507,396,N,,VBM PORTION,41,36,3,
LONG BEACH,3850152A,1507,396,N,781,TOTAL,166,143,16,
LONG BEACH,3850153A,1508,392,N,1257,POLLING PLACE,298,180,93,
LONG BEACH,3850153A,1508,392,N,,VBM PORTION,151,82,65,
LONG BEACH,3850153A,1508,392,N,1257,TOTAL,449,262,158,
LONG BEACH,3850154B,1509,396,N,501,POLLING PLACE,33,26,6,
LONG BEACH,3850154B,1509,396,N,,VBM PORTION,8,5,3,
LONG BEACH,3850154B,1509,396,N,501,TOTAL,41,31,9,
LONG BEACH,3850157A,1510,396,N,1098,POLLING PLACE,142,107,28,
LONG BEACH,3850157A,1510,396,N,,VBM PORTION,51,35,9,
LONG BEACH,3850157A,1510,396,N,1098,TOTAL,193,142,37,
LONG BEACH,3850158A,1511,396,N,961,POLLING PLACE,104,77,21,
LONG BEACH,3850158A,1511,396,N,,VBM PORTION,35,28,6,
LONG BEACH,3850158A,1511,396,N,961,TOTAL,139,105,27,
LONG BEACH,3850159A,1512,396,N,768,POLLING PLACE,50,37,11,
LONG BEACH,3850159A,1512,396,N,,VBM PORTION,29,23,3,
LONG BEACH,3850159A,1512,396,N,768,TOTAL,79,60,14,
LONG BEACH,3850163A,1513,396,N,936,POLLING PLACE,128,86,30,
LONG BEACH,3850163A,1513,396,N,,VBM PORTION,57,41,14,
LONG BEACH,3850163A,1513,396,N,936,TOTAL,185,127,44,
LONG BEACH,3850164A,1514,396,N,970,POLLING PLACE,72,53,13,
LONG BEACH,3850164A,1514,396,N,,VBM PORTION,32,25,3,
LONG BEACH,3850164A,1514,396,N,970,TOTAL,104,78,16,
LONG BEACH,3850166B,1515,396,N,986,POLLING PLACE,69,57,10,
LONG BEACH,3850166B,1515,396,N,,VBM PORTION,21,7,14,
LONG BEACH,3850166B,1515,396,N,986,TOTAL,90,64,24,
LONG BEACH,3850170A,1516,396,N,1216,POLLING PLACE,130,107,14,
LONG BEACH,3850170A,1516,396,N,,VBM PORTION,34,30,2,
LONG BEACH,3850170A,1516,396,N,1216,TOTAL,164,137,16,
LONG BEACH,3850171A,1517,396,N,912,POLLING PLACE,48,45,3,
LONG BEACH,3850171A,1517,396,N,,VBM PORTION,25,24,1,
LONG BEACH,3850171A,1517,396,N,912,TOTAL,73,69,4,
LONG BEACH,3850175A,1518,396,N,798,POLLING PLACE,83,68,12,
LONG BEACH,3850175A,1518,396,N,,VBM PORTION,35,22,10,
LONG BEACH,3850175A,1518,396,N,798,TOTAL,118,90,22,
LONG BEACH,3850178A,1519,396,N,807,POLLING PLACE,97,77,14,
LONG BEACH,3850178A,1519,396,N,,VBM PORTION,41,32,6,
LONG BEACH,3850178A,1519,396,N,807,TOTAL,138,109,20,
LONG BEACH,3850179A,1520,396,N,980,POLLING PLACE,134,87,42,
LONG BEACH,3850179A,1520,396,N,,VBM PORTION,124,66,51,
LONG BEACH,3850179A,1520,396,N,980,TOTAL,258,153,93,
LONG BEACH,3850184A,1521,396,N,739,POLLING PLACE,114,86,24,
LONG BEACH,3850184A,1521,396,N,,VBM PORTION,64,38,23,
LONG BEACH,3850184A,1521,396,N,739,TOTAL,178,124,47,
LONG BEACH,3850185A,1522,396,N,792,POLLING PLACE,51,37,9,
LONG BEACH,3850185A,1522,396,N,,VBM PORTION,15,12,3,
LONG BEACH,3850185A,1522,396,N,792,TOTAL,66,49,12,
LONG BEACH,3850190A,1523,396,N,744,POLLING PLACE,76,64,8,
LONG BEACH,3850190A,1523,396,N,,VBM PORTION,31,19,12,
LONG BEACH,3850190A,1523,396,N,744,TOTAL,107,83,20,
LONG BEACH,3850198A,1524,396,N,820,POLLING PLACE,160,108,43,
LONG BEACH,3850198A,1524,396,N,,VBM PORTION,85,46,28,
LONG BEACH,3850198A,1524,396,N,820,TOTAL,245,154,71,
LONG BEACH,3850201A,1525,396,N,890,POLLING PLACE,128,88,31,
LONG BEACH,3850201A,1525,396,N,,VBM PORTION,98,64,28,
LONG BEACH,3850201A,1525,396,N,890,TOTAL,226,152,59,
LONG BEACH,3850202A,1526,396,N,893,POLLING PLACE,120,90,24,
LONG BEACH,3850202A,1526,396,N,,VBM PORTION,54,39,13,
LONG BEACH,3850202A,1526,396,N,893,TOTAL,174,129,37,
LONG BEACH,3850204A,1527,396,N,1280,POLLING PLACE,196,165,25,
LONG BEACH,3850204A,1527,396,N,,VBM PORTION,79,57,16,
LONG BEACH,3850204A,1527,396,N,1280,TOTAL,275,222,41,
LONG BEACH,3850209B,1528,396,N,874,POLLING PLACE,184,115,53,
LONG BEACH,3850209B,1528,396,N,,VBM PORTION,78,44,29,
LONG BEACH,3850209B,1528,396,N,874,TOTAL,262,159,82,
LONG BEACH,3850210A,1529,396,N,705,POLLING PLACE,153,112,28,
LONG BEACH,3850210A,1529,396,N,,VBM PORTION,71,51,19,
LONG BEACH,3850210A,1529,396,N,705,TOTAL,224,163,47,
LONG BEACH,3850211A,1530,396,N,1127,POLLING PLACE,190,149,36,
LONG BEACH,3850211A,1530,396,N,,VBM PORTION,65,44,16,
