LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,RICHARD BLOOM,BRADLY S TORGAN,
BEVERLY HILLS,0900010A,281,183,N,942,POLLING PLACE,158,67,69,
BEVERLY HILLS,0900010A,281,183,N,,VBM PORTION,125,70,42,
BEVERLY HILLS,0900010A,281,183,N,942,TOTAL,283,137,111,
BEVERLY HILLS,0900014A,6032,185,Y,2,POLLING PLACE,,,,
BEVERLY HILLS,0900014A,6032,185,Y,,VBM PORTION,,,,
BEVERLY HILLS,0900014A,6032,185,Y,2,TOTAL,,,,
BEVERLY HILLS,0900016B,282,183,N,878,POLLING PLACE,112,58,37,
BEVERLY HILLS,0900016B,282,183,N,,VBM PORTION,84,38,38,
BEVERLY HILLS,0900016B,282,183,N,878,TOTAL,196,96,75,
BEVERLY HILLS,0900018A,283,183,N,594,POLLING PLACE,94,58,26,
BEVERLY HILLS,0900018A,283,183,N,,VBM PORTION,92,62,18,
BEVERLY HILLS,0900018A,283,183,N,594,TOTAL,186,120,44,
BEVERLY HILLS,0900020A,284,183,N,1125,POLLING PLACE,180,113,46,
BEVERLY HILLS,0900020A,284,183,N,,VBM PORTION,101,55,33,
BEVERLY HILLS,0900020A,284,183,N,1125,TOTAL,281,168,79,
BEVERLY HILLS,0900023A,285,183,N,1196,POLLING PLACE,217,138,61,
BEVERLY HILLS,0900023A,285,183,N,,VBM PORTION,104,65,28,
BEVERLY HILLS,0900023A,285,183,N,1196,TOTAL,321,203,89,
BEVERLY HILLS,0900023B,286,183,N,964,POLLING PLACE,174,98,56,
BEVERLY HILLS,0900023B,286,183,N,,VBM PORTION,155,91,49,
BEVERLY HILLS,0900023B,286,183,N,964,TOTAL,329,189,105,
BEVERLY HILLS,0900026A,287,183,N,1310,POLLING PLACE,244,147,63,
BEVERLY HILLS,0900026A,287,183,N,,VBM PORTION,118,67,30,
BEVERLY HILLS,0900026A,287,183,N,1310,TOTAL,362,214,93,
BEVERLY HILLS,0900030A,288,183,N,1033,POLLING PLACE,208,124,61,
BEVERLY HILLS,0900030A,288,183,N,,VBM PORTION,92,63,21,
BEVERLY HILLS,0900030A,288,183,N,1033,TOTAL,300,187,82,
BEVERLY HILLS,0900033B,289,183,N,1050,POLLING PLACE,210,131,63,
BEVERLY HILLS,0900033B,289,183,N,,VBM PORTION,146,96,40,
BEVERLY HILLS,0900033B,289,183,N,1050,TOTAL,356,227,103,
BEVERLY HILLS,0900036A,290,183,N,1233,POLLING PLACE,181,102,64,
BEVERLY HILLS,0900036A,290,183,N,,VBM PORTION,124,72,44,
BEVERLY HILLS,0900036A,290,183,N,1233,TOTAL,305,174,108,
BEVERLY HILLS,0900037G,291,183,N,1144,POLLING PLACE,212,133,63,
BEVERLY HILLS,0900037G,291,183,N,,VBM PORTION,141,83,42,
BEVERLY HILLS,0900037G,291,183,N,1144,TOTAL,353,216,105,
BEVERLY HILLS,0900041A,292,183,N,1335,POLLING PLACE,253,160,65,
BEVERLY HILLS,0900041A,292,183,N,,VBM PORTION,142,85,41,
BEVERLY HILLS,0900041A,292,183,N,1335,TOTAL,395,245,106,
BEVERLY HILLS,0900046A,293,183,N,1157,POLLING PLACE,142,73,60,
BEVERLY HILLS,0900046A,293,183,N,,VBM PORTION,120,62,43,
BEVERLY HILLS,0900046A,293,183,N,1157,TOTAL,262,135,103,
CALABASAS,1000004A,6033,190,Y,165,POLLING PLACE,,,,
CALABASAS,1000004A,6033,190,Y,,VBM PORTION,34,10,19,
CALABASAS,1000004A,6033,190,Y,165,TOTAL,34,10,19,
FRANKLIN,2400001A,6085,184,Y,2,POLLING PLACE,,,,
FRANKLIN,2400001A,6085,184,Y,,VBM PORTION,,,,
FRANKLIN,2400001A,6085,184,Y,2,TOTAL,,,,
GILMORE,2520001A,6086,183,Y,,POLLING PLACE,,,,
GILMORE,2520001A,6086,183,Y,,VBM PORTION,,,,
GILMORE,2520001A,6086,183,Y,,TOTAL,,,,
MALIBU,4050002A,1702,188,N,779,POLLING PLACE,242,125,90,
MALIBU,4050002A,1702,188,N,,VBM PORTION,83,45,29,
MALIBU,4050002A,1702,188,N,779,TOTAL,325,170,119,
MALIBU,4050003A,1703,188,N,676,POLLING PLACE,221,135,60,
MALIBU,4050003A,1703,188,N,,VBM PORTION,80,43,28,
MALIBU,4050003A,1703,188,N,676,TOTAL,301,178,88,
MALIBU,4050004A,1704,188,N,602,POLLING PLACE,160,92,46,
MALIBU,4050004A,1704,188,N,,VBM PORTION,83,38,34,
MALIBU,4050004A,1704,188,N,602,TOTAL,243,130,80,
MALIBU,4050014A,1705,188,N,857,POLLING PLACE,208,94,95,
MALIBU,4050014A,1705,188,N,,VBM PORTION,93,35,45,
MALIBU,4050014A,1705,188,N,857,TOTAL,301,129,140,
MALIBU,4050051A,1706,188,N,1268,POLLING PLACE,373,188,146,
MALIBU,4050051A,1706,188,N,,VBM PORTION,126,60,61,
MALIBU,4050051A,1706,188,N,1268,TOTAL,499,248,207,
MALIBU,4050057A,1707,188,N,912,POLLING PLACE,262,130,102,
MALIBU,4050057A,1707,188,N,,VBM PORTION,109,54,40,
MALIBU,4050057A,1707,188,N,912,TOTAL,371,184,142,
MALIBU,4050059B,1708,188,N,614,POLLING PLACE,143,59,64,
MALIBU,4050059B,1708,188,N,,VBM PORTION,85,36,38,
MALIBU,4050059B,1708,188,N,614,TOTAL,228,95,102,
MALIBU,4050062A,1709,188,N,944,POLLING PLACE,311,195,75,
MALIBU,4050062A,1709,188,N,,VBM PORTION,112,50,45,
MALIBU,4050062A,1709,188,N,944,TOTAL,423,245,120,
MALIBU,4050063A,1710,188,N,913,POLLING PLACE,236,111,88,
MALIBU,4050063A,1710,188,N,,VBM PORTION,113,60,44,
MALIBU,4050063A,1710,188,N,913,TOTAL,349,171,132,
MALIBU,4050064A,1711,188,N,949,POLLING PLACE,272,154,97,
MALIBU,4050064A,1711,188,N,,VBM PORTION,132,60,57,
MALIBU,4050064A,1711,188,N,949,TOTAL,404,214,154,
MALIBU HEIGHTS,4060001A,1712,192,N,324,POLLING PLACE,104,51,44,
MALIBU HEIGHTS,4060001A,1712,192,N,,VBM PORTION,29,13,14,
MALIBU HEIGHTS,4060001A,1712,192,N,324,TOTAL,133,64,58,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,POLLING PLACE,,,,
MALIBU HEIGHTS,4060001C,6150,195,Y,,VBM PORTION,9,2,7,
MALIBU HEIGHTS,4060001C,6150,195,Y,93,TOTAL,9,2,7,
MALIBU HEIGHTS,4060003A,1713,195,N,542,POLLING PLACE,64,33,24,
MALIBU HEIGHTS,4060003A,1713,195,N,,VBM PORTION,12,4,6,
MALIBU HEIGHTS,4060003A,1713,195,N,542,TOTAL,76,37,30,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,POLLING PLACE,,,,
MALIBU HEIGHTS,4060003B,6151,192,Y,,VBM PORTION,20,11,8,
MALIBU HEIGHTS,4060003B,6151,192,Y,101,TOTAL,20,11,8,
MALIBU HEIGHTS,4060004A,1714,192,N,383,POLLING PLACE,54,30,18,
MALIBU HEIGHTS,4060004A,1714,192,N,,VBM PORTION,37,25,8,
MALIBU HEIGHTS,4060004A,1714,192,N,383,TOTAL,91,55,26,
MALIBU HEIGHTS,4060012A,1715,194,N,519,POLLING PLACE,113,64,39,
MALIBU HEIGHTS,4060012A,1715,194,N,,VBM PORTION,73,43,27,
MALIBU HEIGHTS,4060012A,1715,194,N,519,TOTAL,186,107,66,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,POLLING PLACE,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,,VBM PORTION,,,,
MALIBU HEIGHTS,4060012L,6152,195,Y,1,TOTAL,,,,
SANTA MONICA,6250001A,2455,181,N,893,POLLING PLACE,294,183,88,
SANTA MONICA,6250001A,2455,181,N,,VBM PORTION,112,64,43,
SANTA MONICA,6250001A,2455,181,N,893,TOTAL,406,247,131,
SANTA MONICA,6250003C,2456,181,N,1011,POLLING PLACE,301,193,87,
SANTA MONICA,6250003C,2456,181,N,,VBM PORTION,129,67,53,
SANTA MONICA,6250003C,2456,181,N,1011,TOTAL,430,260,140,
SANTA MONICA,6250005A,2457,181,N,1184,POLLING PLACE,356,248,59,
SANTA MONICA,6250005A,2457,181,N,,VBM PORTION,89,59,19,
SANTA MONICA,6250005A,2457,181,N,1184,TOTAL,445,307,78,
SANTA MONICA,6250006A,2458,181,N,1079,POLLING PLACE,375,246,98,
SANTA MONICA,6250006A,2458,181,N,,VBM PORTION,90,52,32,
SANTA MONICA,6250006A,2458,181,N,1079,TOTAL,465,298,130,
SANTA MONICA,6250008A,2459,181,N,1132,POLLING PLACE,262,166,70,
SANTA MONICA,6250008A,2459,181,N,,VBM PORTION,161,106,44,
SANTA MONICA,6250008A,2459,181,N,1132,TOTAL,423,272,114,
SANTA MONICA,6250010E,2460,181,N,1102,POLLING PLACE,267,191,57,
SANTA MONICA,6250010E,2460,181,N,,VBM PORTION,90,53,32,
SANTA MONICA,6250010E,2460,181,N,1102,TOTAL,357,244,89,
SANTA MONICA,6250011A,2461,181,N,1103,POLLING PLACE,237,154,60,
SANTA MONICA,6250011A,2461,181,N,,VBM PORTION,110,62,41,
SANTA MONICA,6250011A,2461,181,N,1103,TOTAL,347,216,101,
SANTA MONICA,6250015B,2462,181,N,1247,POLLING PLACE,369,249,91,
SANTA MONICA,6250015B,2462,181,N,,VBM PORTION,153,80,59,
SANTA MONICA,6250015B,2462,181,N,1247,TOTAL,522,329,150,
SANTA MONICA,6250016A,2463,181,N,1328,POLLING PLACE,358,243,93,
SANTA MONICA,6250016A,2463,181,N,,VBM PORTION,109,66,34,
SANTA MONICA,6250016A,2463,181,N,1328,TOTAL,467,309,127,
SANTA MONICA,6250017A,2464,181,N,1281,POLLING PLACE,420,263,113,
SANTA MONICA,6250017A,2464,181,N,,VBM PORTION,140,62,63,
SANTA MONICA,6250017A,2464,181,N,1281,TOTAL,560,325,176,
SANTA MONICA,6250019A,2465,181,N,1365,POLLING PLACE,247,155,65,
SANTA MONICA,6250019A,2465,181,N,,VBM PORTION,108,71,30,
SANTA MONICA,6250019A,2465,181,N,1365,TOTAL,355,226,95,
SANTA MONICA,6250020A,2466,181,N,1066,POLLING PLACE,352,234,80,
SANTA MONICA,6250020A,2466,181,N,,VBM PORTION,85,52,24,
SANTA MONICA,6250020A,2466,181,N,1066,TOTAL,437,286,104,
SANTA MONICA,6250024A,2467,181,N,763,POLLING PLACE,191,131,39,
SANTA MONICA,6250024A,2467,181,N,,VBM PORTION,44,32,8,
SANTA MONICA,6250024A,2467,181,N,763,TOTAL,235,163,47,
SANTA MONICA,6250025B,2468,181,N,1093,POLLING PLACE,189,145,32,
SANTA MONICA,6250025B,2468,181,N,,VBM PORTION,52,41,6,
SANTA MONICA,6250025B,2468,181,N,1093,TOTAL,241,186,38,
SANTA MONICA,6250026A,2469,181,N,1194,POLLING PLACE,400,293,74,
SANTA MONICA,6250026A,2469,181,N,,VBM PORTION,99,61,25,
SANTA MONICA,6250026A,2469,181,N,1194,TOTAL,499,354,99,
