LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,SUE HIMMELRICH,JERRY RUBIN,PAM O'CONNOR,TERENCE LATER,FRANK GRUBER,PHIL BROCK,NICK BOLES,WHITNEY SCOTT BAIN,ZOE MUNTANER,KEVIN MCKEOWN,RICHARD MCKINNON,JON MANN,MICHAEL FEINSTEIN,JENNIFER KENNEDY,
SANTA MONICA,6250032A,2471,181,N,1123,POLLING PLACE,244,91,13,55,11,38,63,14,5,8,92,44,8,30,61,
SANTA MONICA,6250032A,2471,181,N,,VBM PORTION,117,37,4,24,2,19,27,4,2,3,36,18,3,12,27,
SANTA MONICA,6250032A,2471,181,N,1123,TOTAL,361,128,17,79,13,57,90,18,7,11,128,62,11,42,88,
SANTA MONICA,6250034A,2472,181,N,1165,POLLING PLACE,341,125,20,94,21,65,66,17,9,11,134,56,21,49,58,
SANTA MONICA,6250034A,2472,181,N,,VBM PORTION,80,31,2,16,4,13,17,2,1,2,25,17,3,9,21,
SANTA MONICA,6250034A,2472,181,N,1165,TOTAL,421,156,22,110,25,78,83,19,10,13,159,73,24,58,79,
SANTA MONICA,6250036B,2473,181,N,1149,POLLING PLACE,306,113,12,80,26,64,50,14,22,7,114,50,16,33,76,
SANTA MONICA,6250036B,2473,181,N,,VBM PORTION,96,35,8,21,7,12,23,6,6,3,37,14,8,9,18,
SANTA MONICA,6250036B,2473,181,N,1149,TOTAL,402,148,20,101,33,76,73,20,28,10,151,64,24,42,94,
SANTA MONICA,6250041A,2474,181,N,1275,POLLING PLACE,274,103,18,64,12,46,46,27,15,12,95,40,22,47,49,
SANTA MONICA,6250041A,2474,181,N,,VBM PORTION,103,36,7,25,5,10,17,1,8,4,36,15,9,10,21,
SANTA MONICA,6250041A,2474,181,N,1275,TOTAL,377,139,25,89,17,56,63,28,23,16,131,55,31,57,70,
SANTA MONICA,6250045A,2475,181,N,1204,POLLING PLACE,263,81,23,75,13,52,58,18,10,12,70,42,26,33,46,
SANTA MONICA,6250045A,2475,181,N,,VBM PORTION,84,25,6,16,4,14,15,4,5,6,28,14,7,12,15,
SANTA MONICA,6250045A,2475,181,N,1204,TOTAL,347,106,29,91,17,66,73,22,15,18,98,56,33,45,61,
SANTA MONICA,6250046A,2476,181,N,1263,POLLING PLACE,317,117,25,86,31,46,47,16,18,6,110,67,19,48,55,
SANTA MONICA,6250046A,2476,181,N,,VBM PORTION,89,24,5,25,7,10,13,5,2,2,29,18,6,6,11,
SANTA MONICA,6250046A,2476,181,N,1263,TOTAL,406,141,30,111,38,56,60,21,20,8,139,85,25,54,66,
SANTA MONICA,6250050A,2477,181,N,1012,POLLING PLACE,254,118,14,56,10,34,38,8,10,13,93,28,14,28,71,
