LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,NICOLE PHILLIS,STEVE DURON,TODD FLORA,
SANTA MONICA,6250053A,2480,181,N,1252,TOTAL,347,120,93,89,
SANTA MONICA,6250056A,2481,181,N,954,POLLING PLACE,97,34,29,31,
SANTA MONICA,6250056A,2481,181,N,,VBM PORTION,54,16,17,14,
SANTA MONICA,6250056A,2481,181,N,954,TOTAL,151,50,46,45,
SANTA MONICA,6250060A,2482,181,N,873,POLLING PLACE,144,43,34,37,
SANTA MONICA,6250060A,2482,181,N,,VBM PORTION,56,19,13,14,
SANTA MONICA,6250060A,2482,181,N,873,TOTAL,200,62,47,51,
SANTA MONICA,6250061A,2483,181,N,991,POLLING PLACE,228,82,73,75,
SANTA MONICA,6250061A,2483,181,N,,VBM PORTION,43,13,15,11,
SANTA MONICA,6250061A,2483,181,N,991,TOTAL,271,95,88,86,
SANTA MONICA,6250062A,2484,181,N,887,POLLING PLACE,209,83,68,69,
SANTA MONICA,6250062A,2484,181,N,,VBM PORTION,37,7,7,5,
SANTA MONICA,6250062A,2484,181,N,887,TOTAL,246,90,75,74,
SANTA MONICA,6250067A,2485,181,N,944,POLLING PLACE,296,91,78,75,
SANTA MONICA,6250067A,2485,181,N,,VBM PORTION,45,14,11,8,
SANTA MONICA,6250067A,2485,181,N,944,TOTAL,341,105,89,83,
SANTA MONICA,6250068D,2486,181,N,582,POLLING PLACE,139,40,38,40,
SANTA MONICA,6250068D,2486,181,N,,VBM PORTION,53,20,14,13,
SANTA MONICA,6250068D,2486,181,N,582,TOTAL,192,60,52,53,
SANTA MONICA,6250069A,2487,181,N,1149,POLLING PLACE,363,92,78,76,
SANTA MONICA,6250069A,2487,181,N,,VBM PORTION,96,30,25,22,
SANTA MONICA,6250069A,2487,181,N,1149,TOTAL,459,122,103,98,
SANTA MONICA,6250070A,2488,181,N,1101,POLLING PLACE,301,85,74,67,
SANTA MONICA,6250070A,2488,181,N,,VBM PORTION,112,30,25,25,
SANTA MONICA,6250070A,2488,181,N,1101,TOTAL,413,115,99,92,
SANTA MONICA,6250071A,2489,181,N,930,POLLING PLACE,198,71,47,55,
SANTA MONICA,6250071A,2489,181,N,,VBM PORTION,55,19,16,22,
SANTA MONICA,6250071A,2489,181,N,930,TOTAL,253,90,63,77,
SANTA MONICA,6250072A,2490,181,N,1294,POLLING PLACE,460,121,107,100,
SANTA MONICA,6250072A,2490,181,N,,VBM PORTION,135,39,41,37,
SANTA MONICA,6250072A,2490,181,N,1294,TOTAL,595,160,148,137,
SANTA MONICA,6250076B,2491,181,N,878,POLLING PLACE,276,60,59,51,
SANTA MONICA,6250076B,2491,181,N,,VBM PORTION,68,18,13,13,
SANTA MONICA,6250076B,2491,181,N,878,TOTAL,344,78,72,64,
SANTA MONICA,6250078A,2492,181,N,826,POLLING PLACE,212,64,57,51,
SANTA MONICA,6250078A,2492,181,N,,VBM PORTION,47,10,10,8,
SANTA MONICA,6250078A,2492,181,N,826,TOTAL,259,74,67,59,
SANTA MONICA,6250081A,2493,181,N,1103,POLLING PLACE,372,135,113,107,
SANTA MONICA,6250081A,2493,181,N,,VBM PORTION,76,12,15,10,
SANTA MONICA,6250081A,2493,181,N,1103,TOTAL,448,147,128,117,
SANTA MONICA,6250083A,2494,181,N,1180,POLLING PLACE,384,97,98,98,
SANTA MONICA,6250083A,2494,181,N,,VBM PORTION,85,27,23,18,
SANTA MONICA,6250083A,2494,181,N,1180,TOTAL,469,124,121,116,
SANTA MONICA,6250085A,2495,181,N,1252,POLLING PLACE,324,83,74,72,
SANTA MONICA,6250085A,2495,181,N,,VBM PORTION,121,37,41,33,
SANTA MONICA,6250085A,2495,181,N,1252,TOTAL,445,120,115,105,
SANTA MONICA,6250089A,2496,181,N,1207,POLLING PLACE,455,99,88,96,
SANTA MONICA,6250089A,2496,181,N,,VBM PORTION,122,22,18,24,
SANTA MONICA,6250089A,2496,181,N,1207,TOTAL,577,121,106,120,
SANTA MONICA,6250092A,2497,181,N,1231,POLLING PLACE,346,110,92,89,
SANTA MONICA,6250092A,2497,181,N,,VBM PORTION,99,27,29,23,
SANTA MONICA,6250092A,2497,181,N,1231,TOTAL,445,137,121,112,
SANTA MONICA,6250094B,2498,181,N,943,POLLING PLACE,237,64,62,62,
SANTA MONICA,6250094B,2498,181,N,,VBM PORTION,75,25,24,21,
SANTA MONICA,6250094B,2498,181,N,943,TOTAL,312,89,86,83,
SANTA MONICA,6250095A,2499,181,N,1311,POLLING PLACE,302,106,94,76,
SANTA MONICA,6250095A,2499,181,N,,VBM PORTION,126,44,38,37,
SANTA MONICA,6250095A,2499,181,N,1311,TOTAL,428,150,132,113,
SANTA MONICA,6250098A,2500,181,N,1199,POLLING PLACE,326,110,94,94,
SANTA MONICA,6250098A,2500,181,N,,VBM PORTION,78,13,12,16,
SANTA MONICA,6250098A,2500,181,N,1199,TOTAL,404,123,106,110,
SANTA MONICA,6250106A,2501,181,N,955,POLLING PLACE,249,66,52,50,
SANTA MONICA,6250106A,2501,181,N,,VBM PORTION,101,30,24,27,
SANTA MONICA,6250106A,2501,181,N,955,TOTAL,350,96,76,77,
SANTA MONICA,6250107A,2502,181,N,1181,POLLING PLACE,336,89,91,77,
SANTA MONICA,6250107A,2502,181,N,,VBM PORTION,129,37,38,31,
SANTA MONICA,6250107A,2502,181,N,1181,TOTAL,465,126,129,108,
SANTA MONICA,6250110D,2503,181,N,910,POLLING PLACE,245,76,63,61,
SANTA MONICA,6250110D,2503,181,N,,VBM PORTION,60,26,20,23,
SANTA MONICA,6250110D,2503,181,N,910,TOTAL,305,102,83,84,
SANTA MONICA,6250113A,2504,181,N,1372,POLLING PLACE,294,100,84,77,
SANTA MONICA,6250113A,2504,181,N,,VBM PORTION,119,32,28,30,
SANTA MONICA,6250113A,2504,181,N,1372,TOTAL,413,132,112,107,
SANTA MONICA,6250121A,2505,181,N,1205,POLLING PLACE,268,77,71,72,
SANTA MONICA,6250121A,2505,181,N,,VBM PORTION,81,19,20,18,
SANTA MONICA,6250121A,2505,181,N,1205,TOTAL,349,96,91,90,
SANTA MONICA,6250125A,2506,181,N,1138,POLLING PLACE,354,77,66,64,
SANTA MONICA,6250125A,2506,181,N,,VBM PORTION,114,21,17,21,
SANTA MONICA,6250125A,2506,181,N,1138,TOTAL,468,98,83,85,
SANTA MONICA,6250127A,2507,181,N,1072,POLLING PLACE,327,106,94,87,
SANTA MONICA,6250127A,2507,181,N,,VBM PORTION,65,17,13,11,
SANTA MONICA,6250127A,2507,181,N,1072,TOTAL,392,123,107,98,
SANTA MONICA,6250128A,2508,181,N,878,POLLING PLACE,268,41,33,36,
SANTA MONICA,6250128A,2508,181,N,,VBM PORTION,117,11,10,13,
SANTA MONICA,6250128A,2508,181,N,878,TOTAL,385,52,43,49,
SANTA MONICA,6250128C,6226,182,Y,83,POLLING PLACE,,,,,
SANTA MONICA,6250128C,6226,182,Y,,VBM PORTION,20,1,1,1,
SANTA MONICA,6250128C,6226,182,Y,83,TOTAL,20,1,1,1,
BALLOT GROUP 181,9990181A,8181,181,N,,POLLING PLACE,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,VBM PORTION,,,,,
BALLOT GROUP 181,9990181A,8181,181,N,,TOTAL,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,POLLING PLACE,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,VBM PORTION,,,,,
BALLOT GROUP 182,9990182A,8182,182,N,,TOTAL,,,,,
