LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,STACY WIESE,STEVEN KLAIF
18TH ST SENATE,N,412533,POLLING PLACE,31735,17960,6245
18TH ST SENATE,N,0,VBM PORTION,29333,16657,5139
18TH ST SENATE,N,412533,TOTAL,61053,34617,11384
20TH ST SENATE,N,57852,POLLING PLACE,3541,2085,720
20TH ST SENATE,N,0,VBM PORTION,3425,2128,580
20TH ST SENATE,N,57852,TOTAL,6966,4213,1300
21ST ST SENATE,N,295641,POLLING PLACE,24416,15563,3566
21ST ST SENATE,N,0,VBM PORTION,28120,18071,3630
21ST ST SENATE,N,295641,TOTAL,52527,33634,7196
22ND ST SENATE,N,402143,POLLING PLACE,28682,16902,5055
22ND ST SENATE,N,0,VBM PORTION,27543,15864,4733
22ND ST SENATE,N,402143,TOTAL,56212,32766,9788
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,3,1
23RD ST SENATE,N,30,TOTAL,5,3,1
24TH ST SENATE,N,356351,POLLING PLACE,28761,14637,6669
24TH ST SENATE,N,0,VBM PORTION,21596,11524,4358
24TH ST SENATE,N,356351,TOTAL,50349,26161,11027
25TH ST SENATE,N,496236,POLLING PLACE,48828,27833,8015
25TH ST SENATE,N,0,VBM PORTION,53257,28195,7848
25TH ST SENATE,N,496236,TOTAL,102064,56028,15863
26TH ST SENATE,N,595374,POLLING PLACE,71309,37384,12468
26TH ST SENATE,N,0,VBM PORTION,68061,35604,10551
26TH ST SENATE,N,595374,TOTAL,139348,72988,23019
27TH ST SENATE,N,347297,POLLING PLACE,33069,18980,5333
27TH ST SENATE,N,0,VBM PORTION,36077,20555,5309
27TH ST SENATE,N,347297,TOTAL,69136,39535,10642
29TH ST SENATE,N,87063,POLLING PLACE,6296,3688,1052
29TH ST SENATE,N,0,VBM PORTION,8041,4541,1286
29TH ST SENATE,N,87063,TOTAL,14333,8229,2338
30TH ST SENATE,N,452850,POLLING PLACE,38257,21902,6571
30TH ST SENATE,N,0,VBM PORTION,31389,16847,5359
30TH ST SENATE,N,452850,TOTAL,69626,38749,11930
32ND ST SENATE,N,443529,POLLING PLACE,35347,21272,6069
32ND ST SENATE,N,0,VBM PORTION,31444,18588,4823
32ND ST SENATE,N,443529,TOTAL,66772,39860,10892
33RD ST SENATE,N,389200,POLLING PLACE,29194,16160,5624
33RD ST SENATE,N,0,VBM PORTION,24284,13948,4315
33RD ST SENATE,N,389200,TOTAL,53466,30108,9939
34TH ST SENATE,N,43970,POLLING PLACE,7336,3865,1124
34TH ST SENATE,N,0,VBM PORTION,7698,4268,1053
34TH ST SENATE,N,43970,TOTAL,15033,8133,2177
35TH ST SENATE,N,443338,POLLING PLACE,36605,22325,6009
35TH ST SENATE,N,0,VBM PORTION,30609,18294,4969
35TH ST SENATE,N,443338,TOTAL,67191,40619,10978
