LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TERESA P MAGNO,SONGHAI ARMSTEAD
18TH ST SENATE,N,412533,POLLING PLACE,31735,13385,10807
18TH ST SENATE,N,0,VBM PORTION,29333,11361,10424
18TH ST SENATE,N,412533,TOTAL,61053,24746,21231
20TH ST SENATE,N,57852,POLLING PLACE,3541,1818,1005
20TH ST SENATE,N,0,VBM PORTION,3425,1598,1121
20TH ST SENATE,N,57852,TOTAL,6966,3416,2126
21ST ST SENATE,N,295641,POLLING PLACE,24416,11663,7444
21ST ST SENATE,N,0,VBM PORTION,28120,11580,9976
21ST ST SENATE,N,295641,TOTAL,52527,23243,17420
22ND ST SENATE,N,402143,POLLING PLACE,28682,13203,8749
22ND ST SENATE,N,0,VBM PORTION,27543,10834,9723
22ND ST SENATE,N,402143,TOTAL,56212,24037,18472
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,2
23RD ST SENATE,N,30,TOTAL,5,2,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,12148,9313
24TH ST SENATE,N,0,VBM PORTION,21596,8240,7731
24TH ST SENATE,N,356351,TOTAL,50349,20388,17044
25TH ST SENATE,N,496236,POLLING PLACE,48828,19376,16592
25TH ST SENATE,N,0,VBM PORTION,53257,17553,18533
25TH ST SENATE,N,496236,TOTAL,102064,36929,35125
26TH ST SENATE,N,595374,POLLING PLACE,71309,23360,26661
26TH ST SENATE,N,0,VBM PORTION,68061,20624,25426
26TH ST SENATE,N,595374,TOTAL,139348,43984,52087
27TH ST SENATE,N,347297,POLLING PLACE,33069,12395,11701
27TH ST SENATE,N,0,VBM PORTION,36077,12537,13250
27TH ST SENATE,N,347297,TOTAL,69136,24932,24951
29TH ST SENATE,N,87063,POLLING PLACE,6296,2726,2013
29TH ST SENATE,N,0,VBM PORTION,8041,3093,2735
29TH ST SENATE,N,87063,TOTAL,14333,5819,4748
30TH ST SENATE,N,452850,POLLING PLACE,38257,12166,16621
30TH ST SENATE,N,0,VBM PORTION,31389,10153,12339
30TH ST SENATE,N,452850,TOTAL,69626,22319,28960
32ND ST SENATE,N,443529,POLLING PLACE,35347,17515,10063
32ND ST SENATE,N,0,VBM PORTION,31444,13652,9955
32ND ST SENATE,N,443529,TOTAL,66772,31167,20018
33RD ST SENATE,N,389200,POLLING PLACE,29194,13298,8720
33RD ST SENATE,N,0,VBM PORTION,24284,10182,8213
33RD ST SENATE,N,389200,TOTAL,53466,23480,16933
34TH ST SENATE,N,43970,POLLING PLACE,7336,2718,2295
34TH ST SENATE,N,0,VBM PORTION,7698,2677,2690
34TH ST SENATE,N,43970,TOTAL,15033,5395,4985
35TH ST SENATE,N,443338,POLLING PLACE,36605,14270,14418
35TH ST SENATE,N,0,VBM PORTION,30609,11539,11932
35TH ST SENATE,N,443338,TOTAL,67191,25809,26350
