LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,DANA CORTEZ
26TH ST SENATE,N,48129,POLLING PLACE,7811,4527
26TH ST SENATE,N,0,VBM PORTION,7179,4064
26TH ST SENATE,N,48129,TOTAL,14988,8591
35TH ST SENATE,N,34908,POLLING PLACE,4216,2501
35TH ST SENATE,N,0,VBM PORTION,4190,2443
35TH ST SENATE,N,34908,TOTAL,8406,4944
