LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,CAROL ROSE,CHARLES M CALDERON
18TH ST SENATE,N,412533,POLLING PLACE,31735,15198,9836
18TH ST SENATE,N,0,VBM PORTION,29333,15346,6990
18TH ST SENATE,N,412533,TOTAL,61053,30544,16826
20TH ST SENATE,N,57852,POLLING PLACE,3541,1878,1044
20TH ST SENATE,N,0,VBM PORTION,3425,1960,792
20TH ST SENATE,N,57852,TOTAL,6966,3838,1836
21ST ST SENATE,N,295641,POLLING PLACE,24416,13606,6198
21ST ST SENATE,N,0,VBM PORTION,28120,16523,5868
21ST ST SENATE,N,295641,TOTAL,52527,30129,12066
22ND ST SENATE,N,402143,POLLING PLACE,28682,14259,8775
22ND ST SENATE,N,0,VBM PORTION,27543,14922,6427
22ND ST SENATE,N,402143,TOTAL,56212,29181,15202
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,2
23RD ST SENATE,N,30,TOTAL,5,2,2
24TH ST SENATE,N,356351,POLLING PLACE,28761,12281,10113
24TH ST SENATE,N,0,VBM PORTION,21596,10421,6044
24TH ST SENATE,N,356351,TOTAL,50349,22702,16157
25TH ST SENATE,N,496236,POLLING PLACE,48828,21819,15051
25TH ST SENATE,N,0,VBM PORTION,53257,25005,11662
25TH ST SENATE,N,496236,TOTAL,102064,46824,26713
26TH ST SENATE,N,595374,POLLING PLACE,71309,29914,21146
26TH ST SENATE,N,0,VBM PORTION,68061,29986,16137
26TH ST SENATE,N,595374,TOTAL,139348,59900,37283
27TH ST SENATE,N,347297,POLLING PLACE,33069,15615,9205
27TH ST SENATE,N,0,VBM PORTION,36077,18482,7821
27TH ST SENATE,N,347297,TOTAL,69136,34097,17026
29TH ST SENATE,N,87063,POLLING PLACE,6296,3259,1644
29TH ST SENATE,N,0,VBM PORTION,8041,4324,1690
29TH ST SENATE,N,87063,TOTAL,14333,7583,3334
30TH ST SENATE,N,452850,POLLING PLACE,38257,19523,10134
30TH ST SENATE,N,0,VBM PORTION,31389,16332,6766
30TH ST SENATE,N,452850,TOTAL,69626,35855,16900
32ND ST SENATE,N,443529,POLLING PLACE,35347,19298,9636
32ND ST SENATE,N,0,VBM PORTION,31444,18254,6568
32ND ST SENATE,N,443529,TOTAL,66772,37552,16204
33RD ST SENATE,N,389200,POLLING PLACE,29194,14669,8535
33RD ST SENATE,N,0,VBM PORTION,24284,13597,5346
33RD ST SENATE,N,389200,TOTAL,53466,28266,13881
34TH ST SENATE,N,43970,POLLING PLACE,7336,3408,1892
34TH ST SENATE,N,0,VBM PORTION,7698,4028,1509
34TH ST SENATE,N,43970,TOTAL,15033,7436,3401
35TH ST SENATE,N,443338,POLLING PLACE,36605,20171,9774
35TH ST SENATE,N,0,VBM PORTION,30609,17676,6493
35TH ST SENATE,N,443338,TOTAL,67191,37847,16267
