LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JOSE SOLORIO,JANET NGUYEN,LONG PHAM
34TH ST SENATE,N,43970,POLLING PLACE,7336,2923,2850,699
34TH ST SENATE,N,0,VBM PORTION,7698,2621,3543,714
34TH ST SENATE,N,43970,TOTAL,15033,5544,6393,1413
