LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,KEVIN MC CARTHY
21ST ST SENATE,N,40752,POLLING PLACE,3565,1852
21ST ST SENATE,N,0,VBM PORTION,4002,2572
21ST ST SENATE,N,40752,TOTAL,7565,4424
