LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,NATHALIE HRIZI,DAVE JONES,TED GAINES
18TH ST SENATE,N,412533,POLLING PLACE,31735,2053,16675,6412
18TH ST SENATE,N,0,VBM PORTION,29333,1636,15853,6650
18TH ST SENATE,N,412533,TOTAL,61053,3689,32528,13062
20TH ST SENATE,N,57852,POLLING PLACE,3541,247,1884,729
20TH ST SENATE,N,0,VBM PORTION,3425,198,1811,862
20TH ST SENATE,N,57852,TOTAL,6966,445,3695,1591
21ST ST SENATE,N,295641,POLLING PLACE,24416,1089,7709,11962
21ST ST SENATE,N,0,VBM PORTION,28120,1202,9650,13501
21ST ST SENATE,N,295641,TOTAL,52527,2291,17359,25463
22ND ST SENATE,N,402143,POLLING PLACE,28682,1833,12492,7627
22ND ST SENATE,N,0,VBM PORTION,27543,1422,12566,7806
22ND ST SENATE,N,402143,TOTAL,56212,3255,25058,15433
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,0,3
23RD ST SENATE,N,30,TOTAL,5,2,0,3
24TH ST SENATE,N,356351,POLLING PLACE,28761,2348,16589,2788
24TH ST SENATE,N,0,VBM PORTION,21596,1483,12933,2886
24TH ST SENATE,N,356351,TOTAL,50349,3831,29522,5674
25TH ST SENATE,N,496236,POLLING PLACE,48828,1820,21028,14939
25TH ST SENATE,N,0,VBM PORTION,53257,1944,21856,16277
25TH ST SENATE,N,496236,TOTAL,102064,3764,42884,31216
26TH ST SENATE,N,595374,POLLING PLACE,71309,3454,36407,17618
26TH ST SENATE,N,0,VBM PORTION,68061,2475,33628,19078
26TH ST SENATE,N,595374,TOTAL,139348,5929,70035,36696
27TH ST SENATE,N,347297,POLLING PLACE,33069,1436,14258,9779
27TH ST SENATE,N,0,VBM PORTION,36077,1251,16283,11290
27TH ST SENATE,N,347297,TOTAL,69136,2687,30541,21069
29TH ST SENATE,N,87063,POLLING PLACE,6296,292,2432,2255
29TH ST SENATE,N,0,VBM PORTION,8041,305,3262,2875
29TH ST SENATE,N,87063,TOTAL,14333,597,5694,5130
30TH ST SENATE,N,452850,POLLING PLACE,38257,1908,20558,3087
30TH ST SENATE,N,0,VBM PORTION,31389,1328,18041,3211
30TH ST SENATE,N,452850,TOTAL,69626,3236,38599,6298
32ND ST SENATE,N,443529,POLLING PLACE,35347,2135,14836,10877
32ND ST SENATE,N,0,VBM PORTION,31444,1556,13511,10444
32ND ST SENATE,N,443529,TOTAL,66772,3691,28347,21321
33RD ST SENATE,N,389200,POLLING PLACE,29194,2259,14808,5546
33RD ST SENATE,N,0,VBM PORTION,24284,1525,12601,5549
33RD ST SENATE,N,389200,TOTAL,53466,3784,27409,11095
34TH ST SENATE,N,43970,POLLING PLACE,7336,348,2992,2434
34TH ST SENATE,N,0,VBM PORTION,7698,235,2966,3029
34TH ST SENATE,N,43970,TOTAL,15033,583,5958,5463
35TH ST SENATE,N,443338,POLLING PLACE,36605,1958,18464,6184
35TH ST SENATE,N,0,VBM PORTION,30609,1456,16019,6282
35TH ST SENATE,N,443338,TOTAL,67191,3414,34483,12466
