LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,XAVIER BECERRA,HOWARD JOHNSON,ADRIENNE N EDWARDS
24TH ST SENATE,N,237843,POLLING PLACE,19418,12524,1621,2020
24TH ST SENATE,N,0,VBM PORTION,15003,9087,1685,1945
24TH ST SENATE,N,237843,TOTAL,34414,21611,3306,3965
30TH ST SENATE,N,19118,POLLING PLACE,1383,636,120,277
30TH ST SENATE,N,0,VBM PORTION,1355,631,161,232
30TH ST SENATE,N,19118,TOTAL,2738,1267,281,509
