LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,L ROYBAL-ALLARD,DAVID SANCHEZ
24TH ST SENATE,N,34655,POLLING PLACE,2624,1443,569
24TH ST SENATE,N,0,VBM PORTION,1199,820,254
24TH ST SENATE,N,34655,TOTAL,3823,2263,823
30TH ST SENATE,N,35212,POLLING PLACE,1569,694,538
30TH ST SENATE,N,0,VBM PORTION,1033,609,300
30TH ST SENATE,N,35212,TOTAL,2601,1303,838
32ND ST SENATE,N,77155,POLLING PLACE,7262,3571,1867
32ND ST SENATE,N,0,VBM PORTION,4595,2305,1208
32ND ST SENATE,N,77155,TOTAL,11855,5876,3075
33RD ST SENATE,N,97732,POLLING PLACE,4992,2605,1412
33RD ST SENATE,N,0,VBM PORTION,2870,1698,820
33RD ST SENATE,N,97732,TOTAL,7857,4303,2232
