LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,RICARDO A BENITEZ,BOB HERTZBERG,JOHN P LINDBLAD
18TH ST SENATE,N,412533,POLLING PLACE,31735,8772,18235,2396
18TH ST SENATE,N,0,VBM PORTION,29333,7517,17103,1996
18TH ST SENATE,N,412533,TOTAL,61053,16289,35338,4392
