LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,SAL GENOVESE,ADAM B SCHIFF,STEVE STOKES
18TH ST SENATE,N,1955,POLLING PLACE,137,5,88,32
18TH ST SENATE,N,0,VBM PORTION,163,7,106,36
18TH ST SENATE,N,1955,TOTAL,300,12,194,68
21ST ST SENATE,N,38,POLLING PLACE,0,0,0,0
21ST ST SENATE,N,0,VBM PORTION,11,1,3,5
21ST ST SENATE,N,38,TOTAL,11,1,3,5
24TH ST SENATE,N,83758,POLLING PLACE,6719,730,4578,543
24TH ST SENATE,N,0,VBM PORTION,5384,484,3701,495
24TH ST SENATE,N,83758,TOTAL,12102,1214,8279,1038
25TH ST SENATE,N,223537,POLLING PLACE,21332,1063,12949,4313
25TH ST SENATE,N,0,VBM PORTION,25208,1183,15308,4350
25TH ST SENATE,N,223537,TOTAL,46537,2246,28257,8663
26TH ST SENATE,N,83232,POLLING PLACE,6932,635,4808,567
26TH ST SENATE,N,0,VBM PORTION,6556,535,4463,737
26TH ST SENATE,N,83232,TOTAL,13486,1170,9271,1304
