LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,BENJAMIN CAMPOS,LINDA T SANCHEZ
22ND ST SENATE,N,9364,POLLING PLACE,557,115,380
22ND ST SENATE,N,0,VBM PORTION,464,91,342
22ND ST SENATE,N,9364,TOTAL,1021,206,722
32ND ST SENATE,N,326727,POLLING PLACE,24626,8858,12572
32ND ST SENATE,N,0,VBM PORTION,22974,8948,11982
32ND ST SENATE,N,326727,TOTAL,47584,17806,24554
33RD ST SENATE,N,12412,POLLING PLACE,1143,492,557
33RD ST SENATE,N,0,VBM PORTION,963,409,502
33RD ST SENATE,N,12412,TOTAL,2106,901,1059
