LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,ZACHARY TAYLOR,ADRIN NAZARIAN
18TH ST SENATE,N,195429,POLLING PLACE,16197,4224,10577
18TH ST SENATE,N,0,VBM PORTION,15479,4123,9536
18TH ST SENATE,N,195429,TOTAL,31672,8347,20113
26TH ST SENATE,N,6399,POLLING PLACE,690,135,475
26TH ST SENATE,N,0,VBM PORTION,710,185,424
26TH ST SENATE,N,6399,TOTAL,1399,320,899
27TH ST SENATE,N,14460,POLLING PLACE,1293,465,720
27TH ST SENATE,N,0,VBM PORTION,1165,349,674
27TH ST SENATE,N,14460,TOTAL,2458,814,1394
