LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
18TH ST SENATE,N,412533,POLLING PLACE,31735,21300,7915
18TH ST SENATE,N,0,VBM PORTION,29333,18377,7106
18TH ST SENATE,N,412533,TOTAL,61053,39677,15021
20TH ST SENATE,N,57852,POLLING PLACE,3541,2297,926
20TH ST SENATE,N,0,VBM PORTION,3425,2135,854
20TH ST SENATE,N,57852,TOTAL,6966,4432,1780
21ST ST SENATE,N,295641,POLLING PLACE,24416,13640,9091
21ST ST SENATE,N,0,VBM PORTION,28120,15105,9421
21ST ST SENATE,N,295641,TOTAL,52527,28745,18512
22ND ST SENATE,N,402143,POLLING PLACE,28682,17609,8354
22ND ST SENATE,N,0,VBM PORTION,27543,15925,7565
22ND ST SENATE,N,402143,TOTAL,56212,33534,15919
23RD ST SENATE,N,30,POLLING PLACE,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,2,3
23RD ST SENATE,N,30,TOTAL,5,2,3
24TH ST SENATE,N,356351,POLLING PLACE,28761,21213,4634
24TH ST SENATE,N,0,VBM PORTION,21596,14326,4045
24TH ST SENATE,N,356351,TOTAL,50349,35539,8679
25TH ST SENATE,N,496236,POLLING PLACE,48828,29884,14333
25TH ST SENATE,N,0,VBM PORTION,53257,29493,14488
25TH ST SENATE,N,496236,TOTAL,102064,59377,28821
26TH ST SENATE,N,595374,POLLING PLACE,71309,46113,17748
26TH ST SENATE,N,0,VBM PORTION,68061,40734,17275
26TH ST SENATE,N,595374,TOTAL,139348,86847,35023
27TH ST SENATE,N,347297,POLLING PLACE,33069,19777,10342
27TH ST SENATE,N,0,VBM PORTION,36077,20295,10159
27TH ST SENATE,N,347297,TOTAL,69136,40072,20501
29TH ST SENATE,N,87063,POLLING PLACE,6296,3407,2297
29TH ST SENATE,N,0,VBM PORTION,8041,3941,2858
29TH ST SENATE,N,87063,TOTAL,14333,7348,5155
30TH ST SENATE,N,452850,POLLING PLACE,38257,29216,4845
30TH ST SENATE,N,0,VBM PORTION,31389,21839,4405
30TH ST SENATE,N,452850,TOTAL,69626,51055,9250
32ND ST SENATE,N,443529,POLLING PLACE,35347,21437,10824
32ND ST SENATE,N,0,VBM PORTION,31444,18012,9056
32ND ST SENATE,N,443529,TOTAL,66772,39449,19880
33RD ST SENATE,N,389200,POLLING PLACE,29194,19610,6815
33RD ST SENATE,N,0,VBM PORTION,24284,15626,6016
33RD ST SENATE,N,389200,TOTAL,53466,35236,12831
34TH ST SENATE,N,43970,POLLING PLACE,7336,4254,2358
34TH ST SENATE,N,0,VBM PORTION,7698,4224,2517
34TH ST SENATE,N,43970,TOTAL,15033,8478,4875
35TH ST SENATE,N,443338,POLLING PLACE,36605,25646,7416
35TH ST SENATE,N,0,VBM PORTION,30609,19791,6613
35TH ST SENATE,N,443338,TOTAL,67191,45437,14029
