LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,MIKE MEZA,ROGER HERNANDEZ,JOE M GARDNER
22ND ST SENATE,N,170347,POLLING PLACE,11733,1218,5907,3747
22ND ST SENATE,N,0,VBM PORTION,9898,976,4693,3276
22ND ST SENATE,N,170347,TOTAL,21626,2194,10600,7023
25TH ST SENATE,N,44359,POLLING PLACE,3965,323,1263,2057
25TH ST SENATE,N,0,VBM PORTION,4267,361,1391,2107
25TH ST SENATE,N,44359,TOTAL,8232,684,2654,4164
