LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,JORGE S FUENTES,SCOTT WILK
18TH ST SENATE,N,23671,POLLING PLACE,2253,972,1127
18TH ST SENATE,N,0,VBM PORTION,2022,808,944
18TH ST SENATE,N,23671,TOTAL,4272,1780,2071
21ST ST SENATE,N,104726,POLLING PLACE,9009,2414,5902
21ST ST SENATE,N,0,VBM PORTION,11369,3199,7077
21ST ST SENATE,N,104726,TOTAL,20376,5613,12979
27TH ST SENATE,N,62334,POLLING PLACE,6143,2083,3495
27TH ST SENATE,N,0,VBM PORTION,7048,2129,4025
27TH ST SENATE,N,62334,TOTAL,13187,4212,7520
