LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD S ROGERS,BOB OLMSTED,JIM MCDONNELL,LOU VINCE,PAUL TANAKA,JAMES HELLMOLD,PATRICK L GOMEZ
18TH ST SENATE,N,412533,POLLING PLACE,31735,1675,2964,13489,1603,3461,2405,2384
18TH ST SENATE,N,0,VBM PORTION,29333,1770,2492,11124,1703,3238,2327,1531
18TH ST SENATE,N,412533,TOTAL,61053,3445,5456,24613,3306,6699,4732,3915
20TH ST SENATE,N,57852,POLLING PLACE,3541,207,366,1088,149,439,380,525
20TH ST SENATE,N,0,VBM PORTION,3425,170,287,1091,204,366,431,304
20TH ST SENATE,N,57852,TOTAL,6966,377,653,2179,353,805,811,829
21ST ST SENATE,N,295641,POLLING PLACE,24416,1695,2966,9771,1210,3790,1356,1239
21ST ST SENATE,N,0,VBM PORTION,28120,1798,3251,10052,1596,4025,1965,1036
21ST ST SENATE,N,295641,TOTAL,52527,3493,6217,19823,2806,7815,3321,2275
22ND ST SENATE,N,402143,POLLING PLACE,28682,1254,3089,10967,1255,4093,1900,2932
22ND ST SENATE,N,0,VBM PORTION,27543,1103,2663,9372,1546,4238,1940,1917
22ND ST SENATE,N,402143,TOTAL,56212,2357,5752,20339,2801,8331,3840,4849
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,0,0,2,1,0,1,1
23RD ST SENATE,N,30,TOTAL,5,0,0,2,1,0,1,1
24TH ST SENATE,N,356351,POLLING PLACE,28761,1382,2135,9587,1487,3358,2050,4747
24TH ST SENATE,N,0,VBM PORTION,21596,1133,1478,6928,1285,2689,1839,2272
24TH ST SENATE,N,356351,TOTAL,50349,2515,3613,16515,2772,6047,3889,7019
25TH ST SENATE,N,496236,POLLING PLACE,48828,1647,5339,22365,1909,6110,3097,1700
25TH ST SENATE,N,0,VBM PORTION,53257,1966,4714,19780,2615,6754,4066,1485
25TH ST SENATE,N,496236,TOTAL,102064,3613,10053,42145,4524,12864,7163,3185
26TH ST SENATE,N,595374,POLLING PLACE,71309,2447,5604,32692,3409,9296,3352,1640
26TH ST SENATE,N,0,VBM PORTION,68061,2292,4507,29278,3216,8282,3494,1061
26TH ST SENATE,N,595374,TOTAL,139348,4739,10111,61970,6625,17578,6846,2701
27TH ST SENATE,N,347297,POLLING PLACE,33069,1361,3196,15509,1265,3802,2248,1272
27TH ST SENATE,N,0,VBM PORTION,36077,1477,3194,14936,1752,3984,2839,974
27TH ST SENATE,N,347297,TOTAL,69136,2838,6390,30445,3017,7786,5087,2246
29TH ST SENATE,N,87063,POLLING PLACE,6296,327,814,2421,208,1081,425,323
29TH ST SENATE,N,0,VBM PORTION,8041,372,831,2736,386,1385,563,325
29TH ST SENATE,N,87063,TOTAL,14333,699,1645,5157,594,2466,988,648
30TH ST SENATE,N,452850,POLLING PLACE,38257,2783,2612,15071,1543,4205,2536,2221
30TH ST SENATE,N,0,VBM PORTION,31389,2330,2027,10751,1484,3519,2691,1306
30TH ST SENATE,N,452850,TOTAL,69626,5113,4639,25822,3027,7724,5227,3527
32ND ST SENATE,N,443529,POLLING PLACE,35347,2256,2992,15347,1471,4668,1940,3347
32ND ST SENATE,N,0,VBM PORTION,31444,1712,2274,12690,1589,4229,1926,2073
32ND ST SENATE,N,443529,TOTAL,66772,3968,5266,28037,3060,8897,3866,5420
33RD ST SENATE,N,389200,POLLING PLACE,29194,1931,1527,14686,905,2435,1353,3080
33RD ST SENATE,N,0,VBM PORTION,24284,1380,1246,13112,912,1903,1139,1479
33RD ST SENATE,N,389200,TOTAL,53466,3311,2773,27798,1817,4338,2492,4559
34TH ST SENATE,N,43970,POLLING PLACE,7336,173,303,5297,130,463,159,92
34TH ST SENATE,N,0,VBM PORTION,7698,170,281,5465,147,437,169,54
34TH ST SENATE,N,43970,TOTAL,15033,343,584,10762,277,900,328,146
35TH ST SENATE,N,443338,POLLING PLACE,36605,2827,2588,14315,1173,6264,2145,2545
35TH ST SENATE,N,0,VBM PORTION,30609,2218,2115,10765,1305,5680,2217,1411
35TH ST SENATE,N,443338,TOTAL,67191,5045,4703,25080,2478,11944,4362,3956
