LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TODD ROYAL,MIKE GATTO
18TH ST SENATE,N,9269,POLLING PLACE,718,231,449
18TH ST SENATE,N,0,VBM PORTION,770,265,427
18TH ST SENATE,N,9269,TOTAL,1487,496,876
24TH ST SENATE,N,47623,POLLING PLACE,3707,447,2934
24TH ST SENATE,N,0,VBM PORTION,3269,500,2392
24TH ST SENATE,N,47623,TOTAL,6975,947,5326
25TH ST SENATE,N,190284,POLLING PLACE,17944,5905,10066
25TH ST SENATE,N,0,VBM PORTION,21330,6423,11072
25TH ST SENATE,N,190284,TOTAL,39272,12328,21138
26TH ST SENATE,N,8741,POLLING PLACE,760,98,572
26TH ST SENATE,N,0,VBM PORTION,648,116,442
26TH ST SENATE,N,8741,TOTAL,1408,214,1014
