LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,TOM GRIEGO,STEVEN P SCHREINER,ANDREW M STEIN
18TH ST SENATE,N,412533,POLLING PLACE,31735,7731,6633,10076
18TH ST SENATE,N,0,VBM PORTION,29333,7347,6804,7811
18TH ST SENATE,N,412533,TOTAL,61053,15078,13437,17887
20TH ST SENATE,N,57852,POLLING PLACE,3541,986,899,955
20TH ST SENATE,N,0,VBM PORTION,3425,1003,932,764
20TH ST SENATE,N,57852,TOTAL,6966,1989,1831,1719
21ST ST SENATE,N,295641,POLLING PLACE,24416,5667,7011,6538
21ST ST SENATE,N,0,VBM PORTION,28120,7538,8092,5894
21ST ST SENATE,N,295641,TOTAL,52527,13205,15103,12432
22ND ST SENATE,N,402143,POLLING PLACE,28682,8722,6480,6853
22ND ST SENATE,N,0,VBM PORTION,27543,8630,6860,5022
22ND ST SENATE,N,402143,TOTAL,56212,17352,13340,11875
23RD ST SENATE,N,30,POLLING PLACE,0,0,0,0
23RD ST SENATE,N,0,VBM PORTION,6,3,1,0
23RD ST SENATE,N,30,TOTAL,5,3,1,0
24TH ST SENATE,N,356351,POLLING PLACE,28761,8330,4793,8487
24TH ST SENATE,N,0,VBM PORTION,21596,6404,4257,5317
24TH ST SENATE,N,356351,TOTAL,50349,14734,9050,13804
25TH ST SENATE,N,496236,POLLING PLACE,48828,10541,11448,14011
25TH ST SENATE,N,0,VBM PORTION,53257,12680,12521,10902
25TH ST SENATE,N,496236,TOTAL,102064,23221,23969,24913
26TH ST SENATE,N,595374,POLLING PLACE,71309,11509,14356,24265
26TH ST SENATE,N,0,VBM PORTION,68061,12492,13957,19836
26TH ST SENATE,N,595374,TOTAL,139348,24001,28313,44101
27TH ST SENATE,N,347297,POLLING PLACE,33069,6032,7160,11286
27TH ST SENATE,N,0,VBM PORTION,36077,7188,8231,10578
27TH ST SENATE,N,347297,TOTAL,69136,13220,15391,21864
29TH ST SENATE,N,87063,POLLING PLACE,6296,1500,1568,1671
29TH ST SENATE,N,0,VBM PORTION,8041,2122,2084,1634
29TH ST SENATE,N,87063,TOTAL,14333,3622,3652,3305
30TH ST SENATE,N,452850,POLLING PLACE,38257,11362,5821,11523
30TH ST SENATE,N,0,VBM PORTION,31389,8074,5749,8614
30TH ST SENATE,N,452850,TOTAL,69626,19436,11570,20137
32ND ST SENATE,N,443529,POLLING PLACE,35347,10220,8036,9542
32ND ST SENATE,N,0,VBM PORTION,31444,9315,7657,6665
32ND ST SENATE,N,443529,TOTAL,66772,19535,15693,16207
33RD ST SENATE,N,389200,POLLING PLACE,29194,8179,5777,8117
33RD ST SENATE,N,0,VBM PORTION,24284,6950,5577,5810
33RD ST SENATE,N,389200,TOTAL,53466,15129,11354,13927
34TH ST SENATE,N,43970,POLLING PLACE,7336,1455,1388,2183
34TH ST SENATE,N,0,VBM PORTION,7698,1682,1750,1922
34TH ST SENATE,N,43970,TOTAL,15033,3137,3138,4105
35TH ST SENATE,N,443338,POLLING PLACE,36605,11970,7262,9399
35TH ST SENATE,N,0,VBM PORTION,30609,9460,7391,6491
35TH ST SENATE,N,443338,TOTAL,67191,21430,14653,15890
