LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,PATRICK O'DONNELL,JOHN C GOYA,SUJA LOWENTHAL
26TH ST SENATE,N,1891,POLLING PLACE,206,47,72,59
26TH ST SENATE,N,0,VBM PORTION,193,35,94,51
26TH ST SENATE,N,1891,TOTAL,399,82,166,110
33RD ST SENATE,N,163484,POLLING PLACE,16642,6583,4018,5002
33RD ST SENATE,N,0,VBM PORTION,15683,5858,4300,4536
33RD ST SENATE,N,163484,TOTAL,32322,12441,8318,9538
34TH ST SENATE,N,43089,POLLING PLACE,7230,2700,2711,1390
34TH ST SENATE,N,0,VBM PORTION,7593,2540,3203,1279
34TH ST SENATE,N,43089,TOTAL,14822,5240,5914,2669
35TH ST SENATE,N,54721,POLLING PLACE,5076,2156,1319,1142
35TH ST SENATE,N,0,VBM PORTION,5441,2031,1651,1239
35TH ST SENATE,N,54721,TOTAL,10514,4187,2970,2381
