LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,GEOFF RIZZO,KURT WEIDEMAN,AURELIO MATTUCCI,RYAN MAND,L KIMMEL-DAGOSTINO,RAHMAT KHAN,JOHN PAUL TABAKIAN,CLINT A PAULSON,MILTON HERRING,HEIDI ANN ASHCRAFT,OMAR NAVARRO,MIKE GRIFFITHS,TIM GOODRICH,CHARLOTTE A SVOLOS,ALEX M SEE,NORM SEGEL
26TH ST SENATE,N,48129,POLLING PLACE,7811,2165,2413,1362,379,1677,653,587,1091,1597,3150,203,1662,2941,805,1524,304
26TH ST SENATE,N,0,VBM PORTION,7179,2085,2396,1178,346,1686,515,572,903,1358,2748,137,1434,2331,809,1611,242
26TH ST SENATE,N,48129,TOTAL,14988,4250,4809,2540,725,3363,1168,1159,1994,2955,5898,340,3096,5272,1614,3135,546
35TH ST SENATE,N,34908,POLLING PLACE,4216,1086,1304,662,255,1159,553,355,448,933,1480,166,767,1492,606,782,127
35TH ST SENATE,N,0,VBM PORTION,4190,1194,1266,546,265,1243,380,328,435,833,1437,128,717,1212,610,895,111
35TH ST SENATE,N,34908,TOTAL,8406,2280,2570,1208,520,2402,933,683,883,1766,2917,294,1484,2704,1216,1677,238
