LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,REBECCA POIRIER,JAY SCHARFMAN,GINA SEMANA
26TH ST SENATE,N,48129,POLLING PLACE,7811,3482,925,1106
26TH ST SENATE,N,0,VBM PORTION,7179,3488,741,725
26TH ST SENATE,N,48129,TOTAL,14988,6970,1666,1831
35TH ST SENATE,N,34908,POLLING PLACE,4216,1875,525,659
35TH ST SENATE,N,0,VBM PORTION,4190,1987,382,529
35TH ST SENATE,N,34908,TOTAL,8406,3862,907,1188
