LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,YES,NO
25TH ST SENATE,N,97282,POLLING PLACE,9406,4873,2113
25TH ST SENATE,N,0,VBM PORTION,12284,5618,2727
25TH ST SENATE,N,97282,TOTAL,21689,10491,4840
