LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
26TH ST SENATE,N,90584,POLLING PLACE,11541,3248,423,1310,204,2595,1278,394,184
26TH ST SENATE,N,0,VBM PORTION,9172,2149,314,962,164,2402,1113,232,122
26TH ST SENATE,N,90584,TOTAL,20706,5397,737,2272,368,4997,2391,626,306
30TH ST SENATE,N,28686,POLLING PLACE,2443,1293,32,248,33,84,373,29,56
30TH ST SENATE,N,0,VBM PORTION,1746,882,24,198,14,98,272,30,40
30TH ST SENATE,N,28686,TOTAL,4187,2175,56,446,47,182,645,59,96
35TH ST SENATE,N,124956,POLLING PLACE,10051,4524,174,1112,118,1092,1798,126,305
35TH ST SENATE,N,0,VBM PORTION,7152,2837,124,794,102,1086,1214,111,232
35TH ST SENATE,N,124956,TOTAL,17189,7361,298,1906,220,2178,3012,237,537
