LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,S M RIDLEY THOMAS,GLEN RATCLIFF
26TH ST SENATE,N,36460,POLLING PLACE,2647,1483,657
26TH ST SENATE,N,0,VBM PORTION,3097,1653,888
26TH ST SENATE,N,36460,TOTAL,5744,3136,1545
30TH ST SENATE,N,235905,POLLING PLACE,24013,16995,4067
30TH ST SENATE,N,0,VBM PORTION,21385,14313,3972
30TH ST SENATE,N,235905,TOTAL,45384,31308,8039
35TH ST SENATE,N,0,POLLING PLACE,0,0,0
35TH ST SENATE,N,0,VBM PORTION,2,0,1
35TH ST SENATE,N,0,TOTAL,1,0,1
