LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,LEE ROGERS,DAVID KOSTER BRUCE,MICHAEL MUSSACK,TROY CASTAGNA,STEVE KNIGHT,EVAN THOMAS,TONY STRICKLAND,NAVRAJ SINGH
18TH ST SENATE,N,31,POLLING PLACE,0,0,0,0,0,0,0,0,0
18TH ST SENATE,N,0,VBM PORTION,10,1,3,0,2,1,0,1,0
18TH ST SENATE,N,31,TOTAL,10,1,3,0,2,1,0,1,0
21ST ST SENATE,N,254806,POLLING PLACE,20851,4441,350,251,1098,6623,1886,5200,194
21ST ST SENATE,N,0,VBM PORTION,24101,4974,422,321,1269,7409,2236,5676,241
21ST ST SENATE,N,254806,TOTAL,44945,9415,772,572,2367,14032,4122,10876,435
25TH ST SENATE,N,6,POLLING PLACE,0,0,0,0,0,0,0,0,0
25TH ST SENATE,N,0,VBM PORTION,13,2,0,1,0,4,0,1,0
25TH ST SENATE,N,6,TOTAL,8,2,0,1,0,4,0,1,0
27TH ST SENATE,N,40475,POLLING PLACE,3721,897,71,51,238,688,312,1200,68
27TH ST SENATE,N,0,VBM PORTION,4667,1057,88,51,330,873,389,1423,73
27TH ST SENATE,N,40475,TOTAL,8386,1954,159,102,568,1561,701,2623,141
