Precinct,Ballot_Group,Consolidation,IsVoteByMail
9000077E,85,9000077A,0
9005318C,104,9005317A,0
5530016C,192,5530016A,0
0600036E,64,0600036A,0
9001073E,55,9001073B,0
9000687C,47,9000687A,0
3850020D,169,3850020A,0
3550015B,2,3550031A,0
6700021B,120,6700017A,0
7410019B,114,7410007A,0
3450012E,161,3450013B,0
0750014F,129,0750014A,0
3990003E,156,3990003A,0
9000061B,21,9000061A,0
2500023B,196,2500023A,0
7150060D,198,7150033A,0
9001567F,104,9001566A,0
2600022A,65,2600022A,0
3200001F,46,3200001A,0
4700007A,27,6850033C,1
3700042M,2,3700042B,0
4450028D,126,4450028A,0
9007330C,30,9000654A,0
7850024A,180,7850024A,0
4800059B,124,4800059A,0
2750019C,193,2750019A,0
3850154D,206,3850154B,0
2780001D,55,2780002A,0
1040020E,14,1040020A,0
0750030C,124,0750030A,0
3500010C,36,3500016A,1
3300003A,120,3300003A,0
4700002A,18,4700001A,1
9001959A,138,9001959A,0
2550010H,45,2550010A,0
6300460M,2,0090005B,1
6220061C,14,6220061A,0
2600018E,65,2600018B,0
2950026B,155,2950026A,0
0900020E,81,0900020A,0
0950142B,46,0950142A,0
1070037B,124,1070036A,0
3200011C,46,3200006C,0
6220170A,3,6220170A,0
9002913C,104,9002913A,0
1940005A,71,1940005A,0
9000192B,62,9000192A,0
2100029D,64,2100029A,0
9002636E,189,9002636A,0
1000007D,56,1000007A,0
6220023H,14,6220023A,0
9002821A,137,9002821A,0
9006625D,55,9000749A,0
0150026A,68,0150055A,0
2000065A,87,2000065A,0
9000344A,21,9000344A,0
5230080A,127,5230080A,0
6550021C,171,6550021A,0
9002347B,86,9004090A,0
9001219D,81,9001219A,0
7800016A,120,7800016A,0
9006239C,11,9006239A,0
1450148C,179,1450148A,0
1000075D,56,1000075A,0
6250072D,81,6250072A,0
9000524D,86,9000522A,0
9001005A,197,9004232A,0
5150035A,36,5150119A,0
3850046A,209,3850046A,0
9003866B,175,9003866A,0
6220065P,14,6220065A,0
9000424C,62,9000425A,0
9003600A,55,9003600A,0
5250036C,90,5250087C,0
6850024A,30,6850002A,0
0950028B,46,0950019A,0
9005424F,104,9005424A,0
0950012E,48,0950012A,0
6220064F,14,6220064B,0
6220108E,14,6220108A,0
4800007D,124,4800006B,0
3450030G,161,3450030A,0
3550024D,1,3550024A,0
5550051F,190,5550051A,0
6250034I,81,6250034A,0
1780068E,110,1780068A,0
5200008F,2,5200040D,0
3850328F,214,3850328A,0
2600106A,65,2600106A,0
3850189A,204,3850545A,0
5230032D,127,5230032A,0
7800055C,120,7800167C,0
7800056A,120,7800170B,0
1600031F,104,1600031C,0
3850045M,209,3850045H,0
9000872D,86,9000872A,0
5530032A,192,5530032A,0
1070016A,124,1070028A,0
9002130D,104,9002129B,0
5550014C,190,5550014A,0
5750012B,69,5750012A,0
4500023E,69,4500023A,0
5230038D,127,5230038A,0
9001503B,215,9002689A,0
9001278D,102,9001278A,0
0950148C,46,0950161A,0
5250065E,90,5250065A,0
2550115B,45,2550105A,0
9006444F,55,9006445A,0
7750004B,79,7750023A,0
9000312A,21,9000312A,0
5250022G,90,5250022A,0
6600015C,36,6600013A,0
7150007E,191,7150007B,0
2630081C,123,2630159A,0
5150120C,36,5150120A,0
5850207A,110,5850207A,0
9003036C,104,9003036A,0
9002421A,152,9002421A,0
2550018B,45,2550018A,0
4800008B,120,4800009A,0
5150038H,36,5150038A,0
9002370A,104,9002370A,0
2040001A,68,2040001A,0
6220101K,18,6220101B,0
1070036A,124,1070036A,0
2700022E,155,2700022A,0
9000750E,43,9000750A,0
2630081E,123,2630159A,0
9001177B,60,9001187A,0
2000053A,88,2000053A,0
0900020F,81,0900020A,0
1040072G,14,1040072A,0
6100021A,68,6100018A,0
0750054G,124,0750022A,0
9000759A,47,9000758A,0
9003958C,80,9003958A,0
9000154B,60,9000154B,0
3450031A,161,3450031A,0
2100120D,64,2100120B,0
9001173A,60,9001173A,0
9002100B,104,9002100A,0
9002899B,107,9002900A,0
4700006E,28,6220191A,1
1780021A,110,1780001A,0
5150072K,36,5150080A,0
0150032B,68,0150032A,0
3850302F,212,3850302A,0
9005638B,21,9005638A,0
1020192G,26,6850030A,1
7700149B,64,7700148A,0
2000014A,88,2000045B,0
0950160E,46,0950160A,0
9002510F,175,9002510A,0
1250003A,36,1250075A,1
9001535G,104,9001535A,0
1940007D,71,1940007A,0
7800171A,120,7800007B,0
3850198B,204,3850198A,0
9001564D,104,9001564A,0
5530005E,192,5530018B,0
9000428C,60,9000428A,0
9005196B,60,9005196A,0
1150002A,54,1150002A,0
9000502F,94,9007016A,0
7700080A,109,7700080A,0
3300007B,120,3300007A,0
7750026E,79,7750003A,0
9000641F,30,9000641D,0
3990017B,156,3990017A,0
9000847A,47,9000684A,0
6050007F,21,6050007A,0
9000492F,60,9000492C,0
9001764F,104,9001764A,0
0600016B,64,0600021B,0
9001943A,137,9001943A,0
6220053H,14,6220053A,0
6700023C,120,6700023A,0
3550105E,2,3550061A,0
0350104E,68,0350104A,0
1000006C,56,1000006A,0
1070002C,124,1070002A,0
7800145C,120,7800148A,0
9001174B,60,9001174A,0
9001322A,147,9002409A,0
5000007C,2,5000007A,0
5250069D,90,5250069A,0
9002022E,136,9002022A,0
3430100K,104,3430003C,1
7150068A,194,7150116A,0
9000531D,21,9000531A,0
6550052F,171,6550052A,0
5730005B,192,5730005A,0
9007402B,148,9002429A,0
9000124B,55,9000180A,0
0550078B,64,0550078A,0
9006317C,86,9006317A,0
5000016D,2,5000016A,0
0090011C,3,0090011A,1
6210001A,201,6210001A,0
4400029A,36,4400004A,0
1850062D,129,1850062A,0
9001159A,175,9001159A,0
9007228E,80,9007228B,0
1960032G,180,1960032A,0
3200018C,46,3200019A,0
6700065E,120,6700065A,0
4450033B,126,4450033A,0
9000295E,175,9001964A,0
4650001N,2,4650001A,0
4100048E,192,4100048A,0
9002692B,149,9002692A,1
6220127S,14,6220127A,0
0600007B,64,0600007A,0
2550097B,45,2550097A,0
1000016B,56,1000016A,0
3750009B,36,3750010F,1
6700056B,120,6700056A,0
1020192X,26,6850030A,1
7700036F,64,7700011A,0
9001044B,55,9001044A,0
9000658A,43,9000658A,0
9004226B,21,9004226A,0
9005204B,153,9005204A,0
1000033D,56,1000033A,0
6200003B,75,6200003B,0
9000263E,47,9000263A,0
2550082D,45,2550082A,0
3200004F,46,3200004A,0
9002719F,94,9001846A,0
9000821A,86,9000821A,0
2600007A,65,2600008A,0
9001844B,79,9001630A,0
3300019B,120,3300019A,0
5530031D,192,5530031A,0
9002154C,104,9002154A,0
5150092B,38,5150092A,0
9006354B,211,9006354A,0
9001536E,94,9001704C,0
3850680A,214,3850295A,0
3300056D,120,3300056A,0
6250051C,81,6250051A,0
9000947D,85,9000947A,0
9006482D,55,9006482A,0
5000006B,2,5000006A,0
3850029E,169,3850032B,0
6220079R,14,6220080A,0
9001127A,60,9001134A,0
9002127F,104,9002127A,0
3850254A,214,3850254A,0
1070025B,124,1070036A,0
4100016D,192,4100014C,0
0800012A,134,0800016A,0
9003128B,54,9003128A,0
0950011C,46,0950011A,0
9000197G,58,9000197B,0
2850001D,99,2850001A,0
9001129C,137,9001129B,0
9002538B,180,9002540A,0
6450004H,210,6450004A,0
1020244W,3,1020244A,0
3550059C,2,3550059A,0
5500007D,64,5500099A,0
9001854B,94,9002719D,0
9002173A,43,9001759A,0
3850099A,219,3850099A,0
0150014B,68,0150014A,0
3700043D,2,3700043A,0
9000425B,62,9000425A,0
2100001C,72,2100001A,0
9005300A,80,9005300A,0
9000069D,21,9000069A,0
9000550D,93,9001685A,0
2950063A,155,2950063A,0
7680013D,196,7680013A,0
9005310A,81,9005310A,0
6250010E,81,6250010E,0
1040226I,14,1040226B,0
4800011B,120,4800011A,0
9005833B,81,9005833A,0
7770013B,50,7770013A,0
5150061B,36,5150061B,0
1450142E,179,1450004A,0
9002743A,81,9002742A,1
7690001D,180,7690001A,0
9006495C,55,9006601A,0
9001017A,60,9001016A,0
7670004E,154,7670004A,0
0450008A,180,0450008A,0
5250061A,90,5250061A,0
9001312D,81,9001310A,0
1900001E,67,1900001A,0
3850072F,204,3850072A,0
9001747A,136,9001747A,0
2100020D,72,2100105A,0
1030109A,178,1030109A,0
2040004G,68,2040004A,0
9001379C,81,9001391A,0
9002518B,180,9002518A,0
2750013C,193,2750015A,0
9002809C,86,9002809A,0
3850275A,214,3850275A,0
7800011C,120,7800010A,0
7750038B,79,7750036B,0
7050001D,68,7050037A,0
9004217A,54,9004217A,0
4060004C,83,4060012A,0
9001014C,86,9001014A,0
7750043E,79,7750043A,0
2000062F,87,2000062A,0
9002067A,104,9002102A,0
9001332B,101,9001332A,0
9003662D,175,9003029C,0
4500004B,69,4500005A,0
7150116C,194,7150116A,0
0700011G,164,0700011A,0
9004237B,43,9004237A,0
4450003C,126,4450003A,0
9005925C,81,9005925A,0
0350035E,68,0350035A,0
9001560C,104,9001560A,0
7750002F,79,7750002A,0
2000082C,88,2000082A,0
9006209E,21,9006209A,0
0550079E,64,0550081A,0
9004026D,47,9000700A,0
3080009F,36,3080004A,1
9001329A,101,9001329A,0
6550042C,171,6550031A,0
4200001E,164,4200005A,0
9000933B,43,9001796B,0
0150051E,68,0150051A,0
1450137A,179,1450137A,0
7800171E,120,7800007B,0
2550001D,45,2550006A,0
7050070D,68,7050072A,0
9000079J,21,9000079C,0
9006428C,55,9006428A,0
9000453A,199,9000341A,0
0850054D,86,0850016A,0
7050016C,68,7050016A,0
9007330B,30,9000021A,0
9003406C,147,9003278A,0
7700148D,64,7700148A,0
9001475A,186,9001473A,0
5530046D,192,5530042A,0
9002988A,21,9002988A,0
6250035E,81,6250036B,0
9002437B,189,9001439B,0
5000011P,2,5000011A,0
9006249B,17,9006249A,0
9001399D,215,9000420A,1
9000254F,55,9000255A,0
2000025D,87,2000025A,0
0950013D,46,0950013A,0
7150088E,194,7150087A,0
9001452E,107,9001452A,0
6220164E,14,6220164C,0
3850038A,206,3850038A,0
4800024A,120,4800024A,0
5850021B,110,5850021A,0
1960006A,185,1960006A,1
9000756A,60,9000756A,0
9000340E,21,9000222A,0
5250018L,90,5250018A,0
0090007B,14,0090007B,1
0090003A,13,0090003A,0
5150005A,36,5150005A,0
9000230H,55,9006652A,0
3450076A,158,3450076A,0
9003228A,60,9003228A,0
9006450D,55,9006450A,0
3850328E,214,3850328A,0
5250153A,90,5250049A,0
9006490D,55,9006490A,0
9000438E,86,9000438A,0
2700109B,155,2700109A,0
9001427D,177,9001434A,0
4150045A,149,4150047A,0
5000079C,2,5000079A,0
9003683C,55,9003683A,0
9000516F,21,9002301A,0
3550029E,1,3550029A,0
9006428B,55,9006428A,0
1550020D,164,1550020A,0
5000079A,2,5000079A,0
0550010C,64,0550010A,0
6220004C,14,6220006A,0
7050073F,68,7050076B,0
2550100F,45,2550100A,0
3550025A,1,3550025A,0
5000005T,2,5000005A,0
9005543G,86,9005543C,0
7700015F,64,7700015B,0
9000261A,60,9001152A,0
3550043A,1,3550040A,0
2600023H,65,2600023A,0
2950040C,155,2950040A,0
3850030F,206,3850030A,0
4400015B,39,4400015A,0
6220078B,14,6220078A,0
9001193A,81,9001212A,0
0900021D,81,0900037G,0
2250009F,149,2250009A,0
9002911A,55,9001019A,0
0750038A,129,0750024A,0
6220095D,14,6220023A,0
9002393D,150,9002393A,0
5230014A,127,5230019A,0
0200040C,36,0200007A,0
9001841B,86,9001841A,0
4780011H,120,4780011A,0
7750040C,79,7750077C,0
3650007G,155,3650007A,0
4450008E,126,4450008A,0
5530053B,192,5530048A,0
9005312E,81,9005312C,0
0800005D,134,0800005A,0
7670017G,155,7670017A,0
3850225B,204,3850227A,0
6220101R,18,6220101B,0
2550013B,45,2550023A,0
1750054P,2,1750001A,0
3450010A,158,3450010A,0
5250063D,90,5250063A,0
5230032A,127,5230032A,0
0900037B,81,0900033B,0
1900008D,67,1900008A,0
6250110D,81,6250110D,0
9002027E,137,9002027A,0
9006642C,55,9000259A,0
6550062B,171,6550062A,0
1070009B,124,1070016D,0
4100028D,192,4100028A,0
3450010E,158,3450010A,0
9002654B,86,9001660A,0
9002006C,104,9002343A,0
9001569B,104,9001569A,0
9001052B,60,9005152A,0
4100034A,192,4100034A,0
9001327B,215,9001610B,0
9001007D,60,9001113A,0
7700026A,64,7700026A,0
2100119B,64,2100119A,0
9000400B,58,9000400A,0
9003050A,104,9003050A,0
9002591C,177,9002591A,0
9007939B,55,9007939A,0
5200013A,4,5200013A,1
3850355E,209,3850356A,0
9007833D,19,9007833A,0
7150078E,191,7150078D,0
5150053A,36,5150053A,0
9000365A,58,9000365A,0
5250032C,90,5250030A,0
5150067A,36,5150070A,0
1850021C,129,1850019A,0
9000560D,86,9000303A,0
2600067F,67,2600067A,0
9006468D,55,9006468C,0
9000295C,175,9001159A,0
2850020A,99,2850029A,0
4400065D,39,4400065A,0
5850015C,110,5850002A,0
1430031A,132,1430031A,0
3300029D,120,3300029A,0
1040226P,14,1040226B,0
9000230M,55,9002123A,0
9002042A,137,9002042A,0
1850013D,129,1850013A,0
3330040D,114,3330013B,0
0070007C,83,0070006A,0
1960011E,180,1960011A,0
2100021D,64,2100021A,0
7670018D,155,7670018A,0
9005927B,81,9005924A,0
3550057B,2,3550026A,0
2600020A,65,2600001A,0
3850187A,209,3850209B,0
4500032B,69,4500019A,0
9001274C,102,9001274A,0
3850274A,209,3850274A,1
9001555A,96,9001000A,0
4050002G,83,4050002A,0
2100005D,72,2100001A,0
5850073E,110,5850073A,0
9002498B,104,9001557B,0
3330012C,114,3330012A,0
9001907D,21,9001907A,0
1300026A,37,1300026A,0
9001227C,79,9001224C,0
5250044B,90,5250011B,0
0750033A,124,0750033A,0
9000293A,175,9000293A,0
9001243F,150,9001243A,0
3850411A,214,3850447A,0
5250096D,90,5250096A,0
9002444C,148,9002444A,0
9001463F,84,9001463A,0
3850398A,208,3850398A,1
9001927F,137,9001927A,0
1900006B,67,1900006A,0
5550050D,190,5550050A,0
9001535A,104,9001535A,0
9002359B,93,9001632B,0
9002208F,153,9002207A,0
1030005D,178,1030042B,0
2550111A,45,2550111A,0
0700009C,164,0700008A,0
1300018B,37,1300018A,0
2350001A,89,2350028A,1
6000012D,39,6000057A,0
9001481A,80,9002283A,0
6250053B,81,6250053A,0
6220190E,14,6220163A,0
9000874D,43,9000874A,0
2550005D,45,2550015A,0
1450157D,179,1450157A,0
3850336B,209,3850337A,0
9001548A,137,9000280A,0
1500089E,63,1500089A,0
0350062B,68,0350062B,0
9005837B,107,9005837A,0
9002020A,136,9002021A,0
6550050C,171,6550050A,0
9002442A,94,9000585A,0
3150001L,46,3150001A,0
1850002E,129,1850002A,0
0080012E,83,0080012A,0
6220194F,14,6220194A,0
1600025G,104,1600025A,0
9002042G,137,9002042A,0
5150005H,36,5150005A,0
3850204B,204,3850204A,0
9005110A,58,9000089A,0
2630192F,123,2630192A,0
9001441B,81,9001441A,0
0520015B,114,0520001A,0
4100018E,192,4100017A,0
9000789F,86,9000438A,0
5550004D,190,5550004A,0
1780079L,110,1780069A,0
9000914B,142,9000454A,0
9001389B,149,9001389A,0
5230038C,127,5230038A,0
9001441D,81,9001442A,0
6220025B,18,6220030A,0
9000160C,62,9000160A,0
3550049E,1,3550024A,0
9001201D,79,9001195A,0
6530001G,73,6530002A,0
0350037G,68,0350037A,0
7150048G,198,7150048A,0
9001624B,94,9001624A,0
3150008C,46,3150004A,0
1450062B,179,1450062B,0
5250151B,90,5250151A,0
3850559E,209,3850559A,0
9001768C,104,9001768A,0
6300438C,3,6300002B,1
9002711C,81,9002237A,0
6220035G,14,6220046A,0
0900046A,81,0900046A,0
9002472B,136,9002472B,0
7800149D,120,7800149A,0
6220069D,14,6220069A,0
0950154B,46,0950154A,0
9002441A,211,9000388A,0
5150042F,36,5150042A,0
9002711A,81,9002238A,0
1000006A,56,1000006A,0
2750012E,193,2750012A,0
1040006B,2,2610009A,1
9000784C,43,9000784A,0
9003128D,54,9000176A,0
5850074F,110,5850003B,0
1000076E,56,1000076A,0
7600011A,112,7600011A,0
3850224D,204,3850135A,0
1850045D,129,1850045A,0
9001472F,104,9001472A,0
9002557A,96,9002557A,1
0450004E,180,0450004A,0
3550100C,2,3550032A,0
2600002G,65,2600002A,0
2100019C,64,2100019A,0
3550060C,1,3550060A,0
9005821A,82,9005821A,0
9002428B,104,9002136A,0
2950002A,154,2950002A,0
6300247A,14,6300040B,0
9000973B,85,9000965A,0
6250070C,81,6250070A,0
6220077H,14,6220077A,0
1000010A,56,1000010A,0
3850285D,214,3850285A,0
3850366D,209,3850366A,0
1600017E,104,1600017B,0
9002331A,199,9005045A,0
3850024E,169,3850024A,0
5000011E,2,5000005A,0
9000777E,62,9000777B,0
0950132A,46,0950132A,0
9001002E,60,9001002B,0
4400008F,36,4400008A,0
6530045D,115,6530045A,0
2040004B,68,2040004A,0
5230018D,127,5230018A,0
7850044E,180,7850044A,0
3850212A,209,3850212A,0
9000203B,55,9000203A,0
5150120B,36,5150120A,0
1450144G,179,1450022B,0
9005313A,84,9005313A,0
3850402D,184,3850402A,0
9002796D,32,9002796A,0
0750016F,129,0750016A,0
7750078E,79,7750078A,0
7700122C,109,7700122A,0
0350046E,68,0350035A,0
5550050E,190,5550050A,0
9000582B,94,9000582A,0
3700042G,2,3700042B,0
2700013B,155,2700013A,0
2950068A,155,2950042A,0
9000119G,21,9000119A,0
4450074D,76,4450074A,0
5000072I,2,5000072A,0
3850399A,209,3850399A,0
9005494C,104,9005494B,0
2600059D,65,2600059A,0
6220107J,14,6220107A,0
7670011A,154,7670011A,0
3450020F,162,3450020A,0
9002225E,79,9002225A,0
9001999H,55,9001999A,0
9000395E,43,9000395B,0
2550114D,45,2550074A,0
5850015A,110,5850211A,0
6300006B,3,6300006A,1
9002321A,58,9002321A,0
3550072A,2,3550021A,0
6600028E,36,6600031A,0
0200005F,36,0200005A,0
9000782D,79,9001578A,0
9001728B,177,9001728A,0
9002318C,21,9002318A,0
9002227D,79,9001605B,0
9000756C,60,9001092A,0
7670011D,154,7670011A,0
0350030D,68,0350030A,0
9004210D,51,9004210A,0
0550006A,64,0550081A,0
3330006A,114,3330021A,0
5250049B,90,5250049A,0
3850553C,167,3850553A,0
9002077D,136,9002077A,0
9005827A,81,9005827A,0
6220194N,14,6220194A,0
6220148D,14,6220148A,0
9000613F,58,9005530A,0
5230025B,127,5230034B,0
9000304F,19,9004123A,0
9000063C,55,9000063B,0
6220061E,14,6220061A,0
2950031D,155,2950031A,0
9007689B,81,9007689A,0
9006350C,211,9006350A,0
9002617B,17,9002264B,0
6000015D,39,6000015A,0
3700040B,2,3700040A,0
9001875C,93,9001875A,0
9000247C,21,9000324A,0
1070028A,124,1070028A,0
2630191B,123,2630192A,0
0050005C,2,0050005A,0
9000596B,60,9000596A,0
9006253A,11,9006253A,0
9001744A,17,9002614A,1
4800089E,124,4800089A,0
9000053B,93,9000053A,0
1030003B,178,1030003A,0
6550011D,171,6550011A,0
3150060H,46,3150060A,0
9003465E,55,9003465A,0
0200019G,36,0200019B,0
6700009B,120,6700009B,0
9001762B,136,9001757B,0
1040016D,14,1040016A,0
9006629A,55,9003681A,0
9002360C,21,9000467C,0
3850175B,209,3850175A,0
9003184F,93,9003184A,0
9006279A,54,9006279A,0
9006496E,55,9006500A,0
9005759C,97,9001097A,0
1030104F,178,1030106A,0
6400002B,36,6400002A,0
9000334F,22,9000334A,0
0350055C,68,0350058A,0
9000282A,153,9000282A,0
9000062C,55,9000062A,0
3850316C,209,3850316A,0
9006274E,51,9006274A,0
2950040F,155,2950040A,0
0750036G,124,0750036A,0
3900088A,120,3900088A,0
4800014A,120,4800088A,0
9001081A,137,9001081A,0
5500106A,63,5500105A,0
4100027F,192,4100047A,0
2600007E,65,2600104A,0
6220037E,14,6220023A,0
3550107D,1,3550107A,0
9000591A,47,9000591A,0
5600006B,115,5600073A,0
9003951F,97,9003951B,0
9000687A,47,9000687A,0
5500108A,63,1500084A,0
6820009A,18,6820003A,0
6220035H,14,6220046A,0
1780085D,110,1780085A,0
6220182A,14,6220182A,0
9001200D,61,9001203A,0
6230052H,120,6230052B,1
9001262D,101,9003078B,0
1040251H,14,1040251A,0
3850053A,208,3850053A,0
5850221D,110,5850221A,0
3200011A,46,3200014B,0
7800017F,120,7800167C,0
0950142F,46,0950142A,0
7900010D,2,7900010A,0
2550147E,45,2550147A,0
3500017A,36,3500055A,1
9001021D,55,9001021A,0
1600002C,104,1600002A,0
0350104B,68,0350104A,0
2550010D,45,2550010A,0
7800069A,120,7800051A,0
0070006B,83,0070006A,0
3850039E,182,3850039A,0
1940008F,63,1940008A,0
9000922G,86,9000922B,0
9000057A,55,9000255A,0
0080034C,83,0080034A,0
9000033F,54,9000033A,0
9005936D,146,9005936A,0
3850660D,203,3850660A,0
1770006B,2,5000005A,0
6600005B,36,6600005A,0
7700012C,64,7700012C,0
9000019E,21,9000019A,0
2000081A,88,2000081A,0
9006242C,11,9006242B,0
6600028A,36,6600031A,0
3400011B,39,3400011A,0
7150063B,194,7150067A,0
9001222D,79,9001231A,0
6050001E,21,6050001A,0
9000327A,21,9000327A,0
9002520E,175,9002520A,0
9000033A,54,9000033A,0
9001044C,55,9001044A,0
7100032E,83,7100032A,1
6230052Q,120,6230052L,1
1780001G,110,1780076A,0
9006471D,55,9006468C,0
9002171D,43,9002171A,0
6450001A,210,6450001A,0
6220079A,14,6220193A,0
9000261E,60,9001158A,0
9000444D,86,9000444A,0
0750027D,124,0750027A,0
1000008A,56,1000008A,0
1780063C,110,1780063A,0
5000072B,2,5000072A,0
9001361A,81,9001361A,0
9000013A,86,9000788A,0
0850009B,86,0850007A,0
9007975A,55,9007674A,0
3990024F,156,3990010A,0
6450001B,210,6450001A,0
2950050G,155,2950050A,0
9000633G,30,9000633A,0
3850296B,209,3850296A,0
5000033E,2,5000033A,0
5230021C,127,5230024A,0
9006247D,17,9006247A,0
1960032C,180,1960032A,0
6250056E,81,6250056A,0
9001029B,55,9001039A,0
9001784E,104,9001784A,0
7700035C,109,7700169A,0
7050043C,68,7050043A,0
0750015C,129,0750019A,0
9000856E,86,9000491A,0
2500061E,155,2500021C,0
2550011A,45,2550011A,0
2100121A,64,2100121A,0
9005666E,21,9005666A,0
2550035A,45,2550035A,0
2950042B,155,2950042A,0
9001985D,104,9001985A,0
2550066A,45,2550123A,0
5000046A,2,5000085B,0
3850612B,205,3850612A,0
9005158A,60,9001164A,0
0150023F,68,0150023A,0
6220011F,14,6220011B,0
9000850B,85,9000679C,0
3700044B,2,3700046A,0
9001184C,49,9002533A,0
0550011F,64,0550011A,0
1100026F,63,1100026A,0
1450167B,179,1450167A,0
4800006E,124,4800006B,0
5750007E,69,5750007A,0
5150097E,38,5150097A,0
5750035A,69,5750035A,0
9000228E,55,9000228A,0
6100029D,68,6100031B,0
5100006E,163,5100006A,0
3850153D,212,3850153A,0
1850019D,129,1850019A,0
5250041E,90,5250041A,0
7150034E,198,7150041A,0
6220090K,14,6220090A,0
6220117N,14,6220091A,0
9001018A,80,9001450A,0
2550142E,45,2550032A,0
2630179A,123,2630179A,0
9001224A,79,9001226A,0
9001998B,139,9001998A,0
2550039C,45,2550039A,0
7800172F,120,7800167C,0
7670013B,154,7670013A,0
1600073E,104,1600073A,0
3850037B,182,3850037A,0
7700039C,64,7700039A,0
6000003A,39,6000003A,0
6250106C,81,6250106A,0
5150045B,36,5150045A,0
6700014C,120,6700014B,0
2950057C,155,2950057A,0
6220148C,14,6220148A,0
5000008C,2,5000008A,0
1680005A,155,1680005A,0
9001516D,104,9001516A,0
2250002B,149,2250002A,0
1850057C,129,1850057A,0
3850555C,167,3850555A,0
7850017D,180,7850017A,0
5100017F,163,5100017A,0
9000207G,55,9000207B,0
1600031D,104,1600045A,0
3850291A,214,3850215B,0
5150041F,36,5150041A,0
2850050A,99,2850050A,0
3500055G,36,3500055A,1
9002247A,80,9002247A,0
1100040A,63,1100040A,0
9001016B,60,9001016A,0
9001302B,82,9005821A,0
9000033E,54,9000033A,0
9002044A,93,9002952A,0
4500026D,70,4500026A,0
9001021C,55,9001021A,0
3850680C,214,3850295A,0
9005322D,104,9005322A,0
3850396E,172,3850396A,0
1500086E,63,1500086B,0
1450007E,179,1450007B,0
2630049C,123,2630049A,0
9000229G,55,9000229A,0
9001470E,104,9001470B,0
9002594E,177,9002594A,0
4450013D,76,4450013A,0
9001423B,177,9005284A,0
3400012E,39,3400012A,0
7150090C,191,7150090A,0
9000587G,47,9000591A,0
7150132G,191,7150132A,0
9002267A,62,9002267A,0
5530031A,192,5530031A,0
9001580A,96,9001739A,0
1850058H,129,1850058A,0
0900039A,81,0900041A,0
4100005D,192,4100005A,0
5150003E,36,5150003B,1
9002192C,86,9002192A,0
3850362A,204,3850362A,0
4800010D,120,4800010A,0
9000689E,55,9000689A,0
5000037B,2,5000037A,0
0550008B,64,0550008A,0
9002423A,152,9002421A,0
3550038B,1,3550035B,0
3850396B,172,3850396A,0
9000420A,215,9000420A,1
7800001D,120,7800001A,0
0200009E,36,0200013A,0
5250032E,90,5250030A,0
9002653A,33,9002256A,0
1750011C,1,1750055A,0
0200029B,36,0200032A,0
4450018C,126,4450018A,0
0200029D,36,0200032A,0
6550053A,171,6550053A,0
7150007B,191,7150007B,0
2600034E,67,2600034A,0
0350038D,68,0350037A,0
9007311F,30,9007311A,0
1940013E,68,1940013A,0
9000311C,79,9000311A,0
9001421C,79,9001421A,0
9000656C,30,9000008A,0
9003078A,101,9001262A,0
2100126A,64,2100126A,0
9000197L,58,9000197B,0
3850203A,209,3850202A,0
9001216B,104,9002889A,0
3850065B,209,3850065A,0
9000650C,104,9000650C,0
9006214D,21,9006214A,0
0350023D,68,0350023A,0
9002896A,19,9002828E,0
9002328B,58,9000553D,0
9002564B,43,9000694A,0
0700005B,164,0700005A,0
7150024F,191,7150024A,0
1500035E,63,1500035A,0
3670005C,155,3670005A,0
6200005A,75,6200005A,0
9000441C,215,9000420A,1
9006441A,55,9006440A,0
6220094F,14,6220094A,0
2700103C,155,2700103B,0
9000660C,82,9001449A,0
3990017C,156,3990017A,0
9000095E,19,9000095A,0
6300423B,2,0090005B,1
9000100B,55,9000100B,0
9007311B,30,9007311A,0
9000636A,30,9000636A,0
9001563B,137,9001563A,0
2930068A,114,2930068A,1
9001804D,91,9001804A,0
9001236D,97,9001097A,0
9000342C,11,9002892A,0
7150071C,191,7150081B,0
6200007A,75,6200007A,0
7600007E,112,7600007A,0
1850017A,129,1850017A,0
7150102H,191,7150102A,0
7800172B,120,7800176A,0
1500003A,63,1500003A,0
9000641D,30,9000641D,0
1070006B,124,1070006A,0
6700065D,120,6700065A,0
9000300D,21,9000300A,0
3850104C,182,3850102A,0
9000315B,19,9003466A,0
2950072F,155,2950072A,0
9001219F,81,9001219A,0
3300023G,120,3300023A,0
5750001F,69,5750001A,0
9005405D,93,9005405A,0
9000236C,55,9000236B,0
5250076C,90,5250076A,0
2630193F,123,2630193C,0
6000055F,39,6000055A,0
1780065F,110,1780065A,0
3850271D,214,3850271A,0
9001429A,79,9001429A,0
9000184A,21,9002281A,0
2850050C,99,2850050A,0
7800035D,120,7800004A,0
2950149A,155,2950149A,0
9001667B,60,9002854A,0
9002496F,175,9002496A,0
6700070D,120,6700070A,0
7700140F,64,7700140A,0
6220086N,14,6220086A,0
5150023D,36,5150199A,0
5200009K,7,5200003A,1
7670006A,154,7670006A,0
1940009D,68,1940010A,0
9001640A,58,9001640A,0
1100028G,63,1100028A,0
2250020D,149,2250020A,0
3800020C,195,3800004A,0
7800022E,120,7800022B,0
7150131C,191,7150131A,0
6550050B,171,6550050A,0
0900008B,81,0900008A,0
5850071C,110,5850071B,0
