Precinct,Ballot_Group,Consolidation,IsVoteByMail
5550094B,190,5550094A,0
1850063B,129,1850063A,0
9002054F,138,9002673C,0
6700068A,120,6700068A,0
9007333B,30,9007333A,0
1770001B,2,1770001A,0
9000859C,43,9000844A,0
9001548C,137,9001055A,0
9004216E,79,9004216A,0
1100081A,64,1100081A,0
2500012B,196,2500012A,0
9002902B,21,9000312A,0
6600022B,36,6600026A,0
5150037D,36,5150037B,0
6230009C,120,6230009A,0
9001309A,93,9001309A,0
0900023B,81,0900023B,0
6220064C,14,6220064B,0
2700026C,155,2700103B,0
3850135E,204,3850135A,0
1070023K,124,1070041A,0
0200030E,36,0200004A,0
9000269A,104,9002368A,0
0080074C,83,0080052A,0
3850176A,209,3850175A,0
7050077B,68,7050077A,0
9001727C,177,9001727A,0
4400030B,39,4400030A,0
5500110B,108,5500110A,0
3350001A,215,3350001A,0
3650007F,155,3650007A,0
5750035E,69,5750035A,0
9000010D,86,9000779A,0
6220117C,14,6220117A,0
9000567A,102,9000567A,0
3850089G,209,3850286A,0
6220007D,14,6220007A,0
9001013A,60,9000268A,0
7700153D,64,7700153A,0
9000143A,60,9000841A,0
5400057E,1,5400057A,0
5100013H,163,5100013A,0
2500046A,155,2500046A,0
1780066E,110,1780066A,0
0050054A,44,0200031A,1
3850153A,212,3850153A,0
0200048A,36,3500055A,1
7750008I,79,7750008A,0
7150011A,191,7150031B,0
4050003A,83,4050003A,0
6550050F,171,6550050A,0
6220006D,14,6220006A,0
6600015B,36,6600019A,0
9000286A,147,9000286A,0
9006463D,55,9006463B,0
5250038D,90,5250038A,0
7410110F,64,7410020A,0
1450030F,179,1450028C,0
3450052B,160,3450055A,0
9007016F,94,9007016A,0
0600014E,64,0600013A,0
1450043B,179,1450043B,0
9005217B,137,9005217B,0
3990063F,156,3990063A,0
5000027F,2,5000027A,0
5550007A,190,5550016A,0
9004204B,58,9004204A,0
2950019A,155,2950019A,0
9001346A,101,9001346A,0
9001758C,55,9001758A,0
9005124D,43,9005124A,0
3850211D,204,3850211A,0
9001839C,86,9001839A,0
0950027B,46,0950027A,0
5150022D,36,5150066A,0
6250083D,81,6250083A,0
5850003E,110,5850073A,0
4100044D,192,4100044A,0
0400010E,124,0400010A,0
9002083C,104,9002083B,0
9001490C,104,9001490A,0
3400010G,39,3400010A,0
9005161A,60,9001052C,0
9000817D,86,9000817A,0
6220082H,14,6220194A,0
0350006C,68,0350062B,0
1300001D,37,1300001A,0
3300009B,120,3300009A,0
5250009C,90,5250009A,0
5250023G,90,5250023A,0
1850043A,129,1850043A,0
2550057A,45,2550017A,0
6250072F,81,6250072A,0
5850205A,110,5850001A,0
9002694A,20,9002694A,1
5000017A,2,5000017A,0
4450002C,125,4450001C,1
2930017C,114,2930017A,1
9005549D,60,9005549B,0
3550081B,2,3550096A,0
6300004U,3,6300004A,1
3850545C,204,3850545A,0
3080004E,36,3080004A,1
