LOCATION,PRECINCT,REGISTRATION,TYPE,BALLOTS CAST,L ROYBAL-ALLARD,DAVID SANCHEZ
1ST SUPERVISORIAL,N,97364,POLLING PLACE,6113,3376,1422
1ST SUPERVISORIAL,N,0,VBM PORTION,3125,1993,804
1ST SUPERVISORIAL,N,97364,TOTAL,9234,5369,2226
2ND SUPERVISORIAL,N,56492,POLLING PLACE,2587,1162,864
2ND SUPERVISORIAL,N,0,VBM PORTION,1568,937,442
2ND SUPERVISORIAL,N,56492,TOTAL,4153,2099,1306
4TH SUPERVISORIAL,N,90898,POLLING PLACE,7747,3775,2100
4TH SUPERVISORIAL,N,0,VBM PORTION,5004,2502,1336
4TH SUPERVISORIAL,N,90898,TOTAL,12749,6277,3436
